fighter_name,date,opponent,method,method_points,strike_bonus,round_bonus,total_points
Robert Whittaker,2021-04-17,Kelvin Gastelum,Decision - Unanimous,80,88,25,193
Kelvin Gastelum,2021-04-17,Robert Whittaker,Decision - Unanimous,-10,0,25,15
