name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus
Robert Whittaker,0,0,160,0,0,0,0,176,50
Kelvin Gastelum,0,0,0,0,0,0,20,0,50
