name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Abdul Razak Alhassan,600,0,0,0,0,26,0,626
Jennifer Maia,0,90,400,0,0,108,25,623
Trevor Smith,0,90,320,0,70,142,0,622
Semmy Schilt,400,180,0,0,0,41,0,621
Joselyne Edwards,0,90,160,0,140,230,0,620
Aleksander Emelianenko,300,180,0,0,70,70,0,620
Antonina Shevchenko,200,90,80,0,70,179,0,619
Bryan Caraway,0,450,80,0,70,19,0,619
Brock Larson,200,270,80,0,0,44,25,619
Daron Cruickshank,300,0,160,0,70,88,0,618
Phil Hawes,300,0,80,75,0,163,0,618
Khaos Williams,400,0,80,0,70,68,0,618
Ryan Couture,100,180,0,75,140,120,0,615
Tracy Cortez,0,0,400,0,70,119,25,614
Uros Medic,500,0,0,0,0,112,0,612
Eugene Jackson,300,180,80,0,0,27,25,612
Casey Kenney,0,90,400,0,0,120,0,610
Matt Frevola,300,90,80,0,70,68,0,608
Tom Lawlor,200,180,160,0,0,67,0,607
Wilson Gouveia,200,360,0,0,0,46,0,606
Maurice Smith,100,270,80,0,70,85,0,605
Dooho Choi,500,0,0,0,0,79,25,604
Paddy Pimblett,100,270,160,0,0,70,0,600
Thomas Almeida,400,0,80,0,0,93,25,598
Marion Reneau,200,180,80,0,0,137,0,597
Jason MacDonald,200,360,0,0,0,36,0,596
Enrique Barzola,0,0,400,0,70,126,0,596
Terry Etim,100,360,80,0,0,55,0,595
Mayra Bueno Silva,0,450,80,0,0,40,25,595
Marcin Prachnio,100,0,240,0,0,255,0,595
Denise Gomes,200,0,160,0,70,163,0,593
Jessica Penne,100,270,0,0,140,7,75,592
Jared Rosholt,100,0,400,0,0,90,0,590
Joshua Burkman,100,90,240,0,70,90,0,590
Jeff Monson,100,270,80,0,70,42,25,587
Melvin Manhoef,500,0,0,0,0,85,0,585
Ryo Chonan,0,90,240,0,140,115,0,585
Christos Giagos,100,180,240,0,0,65,0,585
Sijara Eubanks,100,0,320,0,0,163,0,583
Azamat Murzakanov,400,0,80,0,0,103,0,583
Constantinos Philippou,300,0,160,0,70,27,25,582
Manel Kape,300,0,160,0,0,121,0,581
Jake Collier,100,90,160,0,70,161,0,581
John Howard,200,0,80,0,280,20,0,580
Montana De La Rosa,100,270,80,0,70,59,0,579
Rameau Thierry Sokoudjou,500,0,0,0,0,78,0,578
James Te Huna,300,0,160,0,0,93,25,578
Ramsey Nijem,200,0,240,0,0,137,0,577
Josh Neer,0,270,160,0,0,146,0,576
Efrain Escudero,100,90,240,0,0,146,0,576
Francis Carmont,0,180,240,0,70,86,0,576
Joe Solecki,0,270,160,75,0,70,0,575
Aiemann Zahabi,200,0,320,0,0,53,0,573
Pannie Kianzad,0,0,400,0,0,171,0,571
Cody Durden,100,90,320,0,0,60,0,570
Abel Trujillo,300,90,80,0,0,99,0,569
Pat Sabatini,0,270,240,0,0,54,0,564
Bo Nickal,100,360,80,0,0,23,0,563
Paul Kelly,100,90,240,0,0,133,0,563
Tom Breese,400,0,80,0,0,81,0,561
Terrance McKinney,300,180,0,0,0,80,0,560
Damon Jackson,100,180,160,0,70,50,0,560
Joe Pyfer,400,90,0,0,0,45,25,560
Dan Hardy,200,0,160,0,140,35,25,560
Marius Zaromskis,300,0,160,0,0,74,25,559
Bethe Correia,100,0,160,0,140,108,50,558
Nina Nunes,0,90,240,0,70,158,0,558
Marc-Andre Barriault,200,90,160,0,0,106,0,556
Kazuo Misaki,100,0,240,0,140,75,0,555
Maryna Moroz,0,180,240,0,70,64,0,554
Taila Santos,0,90,320,0,0,118,25,553
Chase Sherman,300,0,80,0,0,173,0,553
Marlon Moraes,200,90,0,0,140,23,100,553
Martin Buday,100,90,160,0,140,63,0,553
Mickey Gall,0,450,80,0,0,22,0,552
Jimmy Crute,300,180,0,0,0,72,0,552
Rashid Magomedov,100,0,240,0,70,141,0,551
Matt Schnell,0,270,80,0,140,61,0,551
Virna Jandiroba,0,270,240,0,0,16,25,551
Brian Ebersole,100,0,240,0,140,70,0,550
Carlos Prates,500,0,0,0,0,24,25,549
Krzysztof Soszynski,100,180,160,0,0,108,0,548
Tony Gravely,300,0,80,0,70,98,0,548
Daniel Pineda,100,360,0,0,0,87,0,547
Joaquim Silva,300,0,80,0,140,27,0,547
Roman Kopylov,400,0,0,0,70,75,0,545
Leonard Garcia,200,90,0,0,210,16,25,541
John Alessio,0,270,160,0,0,85,25,540
Yves Jabouin,0,0,240,0,210,89,0,539
Mateusz Rebecki,100,180,80,0,70,108,0,538
Daniel Kelly,100,90,240,0,70,38,0,538
Mac Danzig,100,180,160,0,0,95,0,535
Armen Petrosyan,100,0,160,0,70,205,0,535
Jamie Mullarkey,200,0,160,0,70,104,0,534
Tabatha Ricci,0,90,320,0,70,54,0,534
William Knight,300,0,160,0,0,73,0,533
Caol Uno,100,90,240,0,0,77,25,532
Robert Peralta,200,0,80,0,140,112,0,532
Diego Lopes,200,90,160,0,0,80,0,530
Scott Smith,500,0,0,0,0,5,25,530
Oleg Taktarov,0,450,80,0,0,0,0,530
Justin Scoggins,100,0,240,0,0,189,0,529
Rinya Nakamura,200,90,160,0,0,78,0,528
Farid Basharat,0,90,320,0,0,118,0,528
Nate Maness,200,90,160,0,0,78,0,528
Javid Basharat,0,90,240,0,0,198,0,528
Cyrille Diabate,100,90,80,75,0,182,0,527
Chris Daukaus,400,0,0,0,0,76,50,526
Jiri Prochazka,300,90,0,0,0,34,100,524
David Onama,200,90,160,0,0,73,0,523
John Castaneda,100,90,240,0,0,92,0,522
Payton Talbott,200,90,80,0,0,152,0,522
Luis Pena,100,90,160,0,70,101,0,521
Amir Albazi,100,180,80,0,70,39,50,519
Joanderson Brito,200,180,80,0,0,59,0,519
David Teymur,200,0,240,0,0,76,0,516
Roosevelt Roberts,0,270,160,0,0,85,0,515
Jason High,0,270,80,0,140,24,0,514
Mick Parkin,100,90,240,0,0,84,0,514
Shamil Abdurakhimov,200,0,160,0,70,59,25,514
Marloes Coenen,0,360,0,0,0,53,100,513
Diego Brandao,100,180,160,0,0,46,25,511
Daniel Marcos,100,0,160,0,140,111,0,511
Mike Malott,100,270,80,0,0,59,0,509
Ron Waterman,100,180,160,0,0,68,0,508
Cameron Saaiman,300,0,0,75,0,133,0,508
Anthony Perosh,200,270,0,0,0,37,0,507
Doug Marshall,300,90,0,0,0,42,75,507
Karl Roberson,100,180,80,0,70,77,0,507
Albert Tumenov,300,0,80,0,70,55,0,505
Katsunori Kikuno,200,90,160,0,0,55,0,505
Leslie Smith,200,0,160,0,0,145,0,505
Dusko Todorovic,300,0,80,0,0,125,0,505
Damir Ismagulov,0,0,320,0,70,114,0,504
Steven Siler,100,90,240,0,0,74,0,504
Darren Stewart,200,90,80,0,70,64,0,504
Norman Parke,100,0,320,0,0,84,0,504
Christian Rodriguez,0,90,240,0,70,102,0,502
Jose Quinonez,0,90,320,0,0,92,0,502
Matthew Semelsberger,200,0,240,0,0,62,0,502
Jacob Volkmann,0,90,240,0,140,31,0,501
Nate Landwehr,100,180,80,75,0,65,0,500
,100,0,0,0,0,0,400,500
Marco Ruas,100,360,0,0,0,39,0,499
Pat Barry,400,0,80,0,0,18,0,498
Ivan Salaverry,200,180,0,0,0,117,0,497
Zubaira Tukhugov,200,0,160,0,70,66,0,496
Frankie Saenz,0,0,240,0,140,116,0,496
Makhmud Muradov,200,0,160,0,0,135,0,495
Jason Miller,100,180,80,0,0,84,50,494
Shara Magomedov,200,0,160,0,0,134,0,494
Jordan Leavitt,200,180,0,0,70,44,0,494
Rongzhu,200,90,80,0,0,123,0,493
Andrew Sanchez,100,0,320,0,0,73,0,493
Sam Sicilia,300,0,160,0,0,31,0,491
Drew Fickett,0,360,80,0,0,50,0,490
Ryan Hall,0,90,320,0,0,79,0,489
Siyar Bahadurzada,300,90,0,0,0,98,0,488
Josefine Knutsson,0,0,320,0,0,168,0,488
Bart Palaszewski,300,90,0,0,70,27,0,487
Jason Lambert,300,90,0,0,0,96,0,486
Felipe Arantes,100,180,160,0,0,46,0,486
Dustin Hazelett,0,360,80,0,0,46,0,486
Ryan Gracie,200,180,0,0,70,35,0,485
Paulo Thiago,100,90,240,0,0,54,0,484
Jordan Espinosa,100,90,160,0,0,133,0,483
Alex White,200,0,160,0,0,122,0,482
Seth Baczynski,100,180,80,0,70,51,0,481
Jessica Eye,0,0,160,0,140,131,50,481
Marcus Aurelio,100,180,160,0,0,41,0,481
Vitor Petrino,200,90,160,0,0,30,0,480
Francisco Rivera,300,0,80,0,0,100,0,480
Rinat Fakhretdinov,0,90,240,0,70,79,0,479
Raul Rosas Jr.,100,180,160,0,0,39,0,479
Godofredo Pepey,100,270,0,0,70,38,0,478
Marcus McGhee,200,90,80,0,0,106,0,476
Ali Bagautinov,100,0,240,0,0,110,25,475
Ben Nguyen,100,180,80,0,0,114,0,474
Paul Taylor,200,0,80,0,70,123,0,473
Charles Rosa,0,180,80,0,140,72,0,472
Rob McCullough,100,90,0,75,70,62,75,472
Esteban Ribovics,200,0,80,0,70,122,0,472
Jack Jenkins,200,0,80,0,70,121,0,471
Aspen Ladd,300,0,80,0,0,41,50,471
Melsik Baghdasaryan,100,0,240,0,0,131,0,471
Brett Rogers,400,0,0,0,0,45,25,470
Jimi Manuwa,300,0,80,0,0,65,25,470
Charlie Valencia,100,90,160,0,70,49,0,469
Gavin Tucker,0,180,160,0,0,127,0,467
Karine Silva,0,360,80,0,0,27,0,467
Alex Garcia,200,90,80,0,70,25,0,465
Antoni Hardonk,400,0,0,0,0,64,0,464
Soa Palelei,400,0,0,0,0,63,0,463
Claudio Silva,0,270,80,0,70,43,0,463
Kenny Robertson,100,180,80,0,0,100,0,460
Mike Kyle,200,90,80,0,0,89,0,459
Brett Johns,0,180,240,0,0,39,0,459
Jerry Bohlander,0,360,80,0,0,18,0,458
Jacob Malkoun,100,0,240,0,0,116,0,456
Ricky Glenn,100,0,80,0,140,136,0,456
Ramazan Emeev,0,0,320,0,70,65,0,455
Claudio Puelles,0,270,160,0,0,25,0,455
Rodrigo Nascimento,0,180,80,0,140,30,25,455
Steve Cantwell,200,180,0,0,0,50,25,455
Ode Osbourne,200,90,80,0,70,14,0,454
Johnny Case,100,90,160,0,0,103,0,453
Marco Polo Reyes,300,0,0,0,70,82,0,452
Alan Patrick,100,0,320,0,0,32,0,452
Din Thomas,0,180,160,0,70,40,0,450
Themba Gorimbo,100,0,240,0,0,110,0,450
Rodolfo Vieira,0,450,0,0,0,0,0,450
SeungWoo Choi,100,0,240,0,0,109,0,449
Jeff Molina,100,0,160,0,70,119,0,449
Luiz Cane,300,0,80,0,0,69,0,449
Dean Lister,0,270,160,0,0,19,0,449
Phil Rowe,400,0,0,0,0,48,0,448
Chris Wade,0,180,240,0,0,28,0,448
Oban Elliott,100,0,160,75,0,112,0,447
Desmond Green,100,0,160,0,70,114,0,444
Rafa Garcia,0,90,240,0,0,112,0,442
Adlan Amagov,300,0,80,0,0,62,0,442
Lando Vannata,100,90,80,0,70,100,0,440
Maximo Blanco,100,0,240,0,0,99,0,439
Terry Martin,400,0,0,0,0,37,0,437
Trevor Prangley,0,180,160,0,0,97,0,437
Manuel Torres,300,90,0,0,0,46,0,436
Sabina Mazo,0,90,80,0,70,196,0,436
Viacheslav Borshchev,300,0,0,0,70,66,0,436
Alex Karalexis,200,0,80,75,0,81,0,436
Ian Heinisch,200,0,160,0,0,75,0,435
Jessica-Rose Clark,100,0,160,0,70,104,0,434
Drew McFedries,400,0,0,0,0,34,0,434
Dustin Stoltzfus,200,90,80,0,0,62,0,432
Victor Henry,100,0,80,0,70,181,0,431
Damir Hadzovic,200,0,80,0,70,80,0,430
Peter Sobotta,100,90,160,0,0,80,0,430
Julian Marquez,100,270,0,0,0,59,0,429
Felice Herrig,0,180,160,0,70,19,0,429
Daniel Omielanczuk,200,0,0,150,0,78,0,428
CJ Vergara,200,0,80,0,70,77,0,427
Alatengheili,100,0,240,0,70,17,0,427
Impa Kasanganay,0,90,240,0,0,97,0,427
Miguel Baeza,200,90,80,0,0,56,0,426
Aaron Riley,100,0,240,0,0,85,0,425
Tamdan McCrory,100,180,80,0,0,65,0,425
Jason Knight,100,90,80,0,70,83,0,423
Brunno Ferreira,400,0,0,0,0,22,0,422
Tafon Nchukwi,100,0,160,0,0,162,0,422
Brad Katona,0,0,320,0,0,102,0,422
Sam Hughes,100,0,80,75,70,96,0,421
Keita Nakamura,0,180,0,0,210,31,0,421
Rich Clementi,0,270,80,0,70,1,0,421
HyunSung Park,200,180,0,0,0,39,0,419
Justin Tafa,400,0,0,0,0,19,0,419
Jeremiah Wells,200,90,0,0,70,59,0,419
Ailin Perez,0,90,240,0,0,88,0,418
Mitch Gagnon,0,270,80,0,0,67,0,417
Luke Sanders,100,90,80,0,0,146,0,416
Luigi Fioravanti,200,0,160,0,0,56,0,416
Joe Proctor,200,90,80,0,0,45,0,415
Omar Morales,100,0,240,0,0,74,0,414
Guido Cannetti,100,90,160,0,0,64,0,414
Elise Reed,0,0,240,0,70,104,0,414
Dwight Grant,200,0,0,0,140,74,0,414
Chepe Mariscal,100,0,160,0,70,83,0,413
Dennis Hallman,100,180,80,0,0,28,25,413
TJ Brown,0,180,80,0,70,83,0,413
Kajan Johnson,100,0,160,0,70,82,0,412
Justin Willis,100,0,240,0,0,70,0,410
Roxanne Modafferi,100,0,160,0,70,30,50,410
Ivan Menjivar,100,180,80,0,0,50,0,410
Brad Riddell,0,0,240,0,70,98,0,408
Jake Hadley,100,180,80,0,0,48,0,408
Hatsu Hioki,0,0,240,0,70,98,0,408
Polyana Viana,100,270,0,0,0,37,0,407
Gabriel Bonfim,0,270,80,0,0,57,0,407
Lina Lansberg,0,0,320,0,0,61,25,406
Daniel Zellhuber,0,90,240,0,0,76,0,406
Cheyanne Vlismas,100,0,160,0,0,144,0,404
Jon Madsen,100,0,160,0,70,73,0,403
Mike Davis,100,90,160,0,0,53,0,403
Josh Grispi,100,270,0,0,0,32,0,402
Priscila Cachoeira,300,0,80,0,0,22,0,402
Christian Leroy Duncan,300,0,0,0,0,101,0,401
Felicia Spencer,200,90,0,0,0,85,25,400
Josh Parisian,300,0,0,0,70,30,0,400
Nikolas Motta,200,0,160,0,0,40,0,400
Veronica Hardy,0,90,160,0,70,79,0,399
Igor Pokrajac,200,90,80,0,0,29,0,399
Rei Tsuruya,100,90,160,0,0,48,0,398
Kyle Nelson,200,0,160,0,0,37,0,397
Chris Duncan,100,90,80,0,70,56,0,396
Sean Pierson,0,0,240,75,0,81,0,396
Carlston Harris,100,180,80,0,0,36,0,396
Parker Porter,100,0,240,0,0,55,0,395
Joe Duffy,100,180,80,0,0,35,0,395
Roger Gracie,0,270,80,0,0,45,0,395
Kevin Ferguson,300,0,80,0,0,15,0,395
David Branch,100,0,160,0,70,40,25,395
Ian McCall,100,0,160,0,0,134,0,394
Vanessa Demopoulos,0,90,160,0,140,4,0,394
Piera Rodriguez,0,0,320,0,0,74,0,394
Tsuyoshi Kohsaka,200,0,160,0,0,33,0,393
Rodrigo Gracie,0,90,240,0,0,63,0,393
Patrick Smith,100,270,0,0,0,23,0,393
Andre Ewell,0,0,80,0,210,103,0,393
Michihiro Omigawa,100,180,80,0,0,32,0,392
Caio Magalhaes,200,90,80,0,0,22,0,392
Ismail Naurdiev,0,0,240,0,0,152,0,392
Da Woon Jung,200,90,80,0,0,22,0,392
Yuta Sasaki,0,360,0,0,0,32,0,392
Karl Williams,0,0,320,0,0,70,0,390
Daniel Puder,0,270,80,0,0,40,0,390
DaMarques Johnson,200,180,0,0,0,10,0,390
Naoya Ogawa,100,270,0,0,0,19,0,389
Vaughan Lee,0,90,160,0,0,139,0,389
Asu Almabayev,0,90,240,0,0,58,0,388
Paul Varelans,200,90,80,0,0,17,0,387
Gerald Harris,300,0,0,0,70,17,0,387
Maurice Greene,100,180,0,0,70,37,0,387
Davi Ramos,0,270,80,0,0,36,0,386
Iasmin Lucindo,0,90,160,0,70,65,0,385
Todd Duffee,300,0,0,0,0,60,25,385
Anthony Hamilton,200,0,80,0,0,105,0,385
Rony Jason,200,90,80,0,0,14,0,384
Mike Rodriguez,300,0,0,0,0,84,0,384
Chris Gruetzemacher,100,0,160,0,0,124,0,384
Batgerel Danaa,300,0,0,0,0,83,0,383
TJ Waldburger,0,270,80,0,0,32,0,382
William Gomis,100,0,80,0,140,62,0,382
Lyman Good,300,0,0,0,0,82,0,382
Sumudaerji,100,0,160,0,0,122,0,382
Luiz Firmino,0,180,160,0,0,41,0,381
Hector Lombard,200,0,80,0,0,101,0,381
Philipe Lins,100,0,240,0,0,41,0,381
JeongYeong Lee,100,90,80,0,70,39,0,379
Adriano Martins,200,90,0,0,70,19,0,379
Charlie Brenneman,0,0,320,0,0,58,0,378
Jorge Gurgel,0,90,160,0,70,58,0,378
Michael Trizano,100,0,80,0,140,58,0,378
Roan Carneiro,100,90,80,0,70,38,0,378
Mark Madsen,100,0,160,0,70,48,0,378
Marcus Brimage,100,0,160,0,70,48,0,378
Wagnney Fabiano,0,90,240,0,0,48,0,378
Vinicius Oliveira,200,0,80,0,0,98,0,378
Lucas Martins,200,90,0,0,70,17,0,377
Alessio Di Chirico,200,0,0,0,140,36,0,376
Daisuke Nakamura,100,270,0,0,0,6,0,376
Dhiego Lima,100,0,80,0,140,55,0,375
Hyder Amil,200,0,80,0,0,95,0,375
Mario Sperry,200,90,0,0,0,84,0,374
Jon Tuck,100,180,80,0,0,13,0,373
Magnus Cedenblad,100,180,80,0,0,12,0,372
Jordan Johnson,0,90,160,0,70,52,0,372
Cat Zingano,200,0,80,0,0,67,25,372
Ismael Bonfim,100,0,160,0,0,111,0,371
Timothy Johnson,100,0,160,0,70,38,0,368
Sedriques Dumas,0,90,240,0,0,38,0,368
Vitor Miranda,300,0,0,0,0,67,0,367
Zak Ottow,100,0,0,0,210,57,0,367
Devonte Smith,300,0,0,0,0,67,0,367
Josh Culibao,0,90,80,0,70,126,0,366
Hunter Azure,0,0,240,0,0,126,0,366
Carlos Hernandez,0,0,80,0,210,74,0,364
Alex Serdyukov,100,180,0,0,0,83,0,363
Jared Hamman,200,0,80,0,0,83,0,363
Jesus Aguilar,100,180,0,0,70,12,0,362
Francimar Barroso,0,0,320,0,0,42,0,362
Brad Blackburn,100,0,80,0,70,112,0,362
Mu Bae Choi,0,270,80,0,0,11,0,361
Cesar Almeida,100,0,160,0,0,101,0,361
Jaqueline Amorim,100,180,0,0,0,80,0,360
Bevon Lewis,200,0,80,0,0,80,0,360
Riki Fukuda,0,0,240,0,0,120,0,360
Yizha,0,180,80,0,70,30,0,360
Ibo Aslan,300,0,0,0,0,59,0,359
Elias Silverio,0,90,160,0,0,109,0,359
Jamall Emmers,100,0,160,0,0,97,0,357
Nicolae Negumereanu,200,0,0,0,140,17,0,357
Daiju Takase,100,90,80,0,70,16,0,356
Hyun Gyu Lim,300,0,0,0,0,31,25,356
Jake O'Brien,100,0,160,0,70,25,0,355
Ruslan Magomedov,0,0,240,0,0,115,0,355
Kazuyuki Miyata,0,0,240,0,70,45,0,355
Trevor Peek,200,0,80,0,0,75,0,355
Kyle Kingsbury,100,0,160,0,70,25,0,355
Kenji Osawa,0,0,80,0,210,64,0,354
Cory McKenna,0,90,240,0,0,24,0,354
Modestas Bukauskas,100,90,160,0,0,3,0,353
Brandon Davis,0,90,160,0,0,102,0,352
Bob Sapp,300,0,0,0,0,52,0,352
Ji Yeon Kim,100,0,0,0,140,111,0,351
Nick Hein,0,0,320,0,0,31,0,351
Luis Saldana,100,0,160,0,0,89,0,349
Yoshiro Maeda,100,90,80,0,0,54,25,349
Alessandro Costa,200,0,0,0,70,79,0,349
Joey Beltran,200,0,80,0,0,68,0,348
Nick Catone,0,90,80,0,140,37,0,347
Vince Morales,100,0,160,0,0,87,0,347
Jacqueline Cavalcanti,0,0,80,0,140,126,0,346
George Sullivan,100,0,160,0,0,86,0,346
Da'Mon Blackshear,100,180,0,0,0,66,0,346
Renzo Gracie,0,90,160,0,0,95,0,345
Sanae Kikuta,0,90,240,0,0,14,0,344
Shamil Gaziev,100,90,80,0,0,49,25,344
Raulian Paiva,100,0,80,75,70,18,0,343
ChangHo Lee,200,0,0,0,70,73,0,343
Brian Foster,200,90,0,0,0,53,0,343
Lucie Pudilova,100,0,160,0,0,83,0,343
Ronnie Lawrence,100,0,160,0,0,82,0,342
Xiao Long,100,0,0,75,70,97,0,342
Ryan Jimmo,200,0,80,0,0,61,0,341
Tagir Ulanbekov,0,180,80,0,70,11,0,341
Tyson Nam,300,0,0,0,0,41,0,341
Jason Brilz,100,0,160,0,0,80,0,340
Austin Hubbard,0,0,240,0,0,100,0,340
Tomasz Drwal,200,90,0,0,0,49,0,339
Eddie Sanchez,300,0,0,0,0,38,0,338
Cathal Pendred,0,90,160,0,70,17,0,337
Yazmin Jauregui,100,0,160,0,0,76,0,336
Ashlee Evans-Smith,100,0,80,0,70,86,0,336
Clint Hester,100,0,80,0,70,86,0,336
Juan Adams,200,0,0,0,0,136,0,336
Luke Cummo,200,0,80,0,0,56,0,336
Danny Barlow,200,0,0,0,70,65,0,335
Victor Altamirano,100,0,80,0,70,85,0,335
Ildemar Alcantara,0,90,80,0,140,24,0,334
Sean Spencer,0,0,160,0,70,104,0,334
Chad Anheliger,100,0,80,0,70,83,0,333
Jeka Saragih,300,0,0,0,0,33,0,333
Aoriqileng,100,0,160,0,0,73,0,333
Johnny Eduardo,200,0,80,0,0,52,0,332
Ikram Aliskerov,200,90,0,0,0,17,25,332
Tim Credeur,200,90,0,0,0,40,0,330
Jamal Pogues,0,0,320,0,0,10,0,330
Cody Brundage,200,90,0,0,0,40,0,330
Logan Clark,200,0,80,0,0,49,0,329
Cody Gibson,100,90,80,0,0,58,0,328
Valerie Letourneau,0,0,160,0,70,73,25,328
Pablo Garza,100,90,80,0,0,58,0,328
Edimilson Souza,200,0,0,0,70,58,0,328
Luke Barnatt,100,90,80,0,0,58,0,328
Eduarda Moura,100,90,80,0,0,58,0,328
Kyle Daukaus,0,90,160,0,0,77,0,327
Yoshihisa Yamamoto,200,90,0,0,0,37,0,327
Richard Crunkilton,100,90,80,0,0,30,25,325
Jimy Hettes,0,180,80,0,0,65,0,325
Megan Anderson,200,90,0,0,0,10,25,325
Charles Byrd,0,270,0,0,0,54,0,324
Josh Samman,200,90,0,0,0,34,0,324
Chad Griggs,300,0,0,0,0,24,0,324
Curtis Millender,100,0,160,0,0,64,0,324
Zhang Mingyang,300,0,0,0,0,24,0,324
Josiane Nunes,100,0,160,0,0,63,0,323
Javier Vazquez,0,180,80,0,0,62,0,322
Tom Nolan,200,0,80,0,0,41,0,321
Chris Horodecki,0,90,0,0,140,91,0,321
Jean Silva,200,0,80,0,0,41,0,321
Ian Freeman,200,0,80,0,0,40,0,320
Shin Haraguchi,100,0,160,0,0,60,0,320
Ihor Potieria,200,0,80,0,0,39,0,319
Alex Stiebling,100,0,160,0,0,59,0,319
Shane del Rosario,100,180,0,0,0,38,0,318
Luana Santos,100,90,80,0,0,48,0,318
Steve Erceg,100,0,160,0,0,33,25,318
Zachary Reese,100,90,80,0,0,48,0,318
Poliana Botelho,100,0,160,0,0,58,0,318
Johnny Bedford,200,0,0,0,0,117,0,317
Jorge Santiago,300,0,0,0,0,17,0,317
Justin Salas,100,0,80,0,70,66,0,316
Hugo Viana,100,0,80,0,70,66,0,316
Eric Schafer,100,180,0,0,0,36,0,316
Pete Williams,100,180,0,0,0,10,25,315
Jhonata Diniz,200,0,80,0,0,34,0,314
Nick Ring,0,90,160,0,0,63,0,313
Tucker Lutz,0,0,240,0,0,72,0,312
Viscardi Andrade,100,0,160,0,0,52,0,312
Yan Cabral,0,180,80,0,0,51,0,311
Alexander Otsuka,100,90,80,0,0,40,0,310
Dave Beneteau,200,0,80,0,0,29,0,309
James Irvin,300,0,0,0,0,8,0,308
Justine Kish,0,0,240,0,0,68,0,308
Abus Magomedov,100,90,80,0,0,13,25,308
Ed Ratcliff,200,0,80,0,0,28,0,308
Clayton Carpenter,0,180,80,0,0,47,0,307
Richard Walsh,0,0,160,0,0,145,0,305
Dave Menne,0,0,160,0,0,95,50,305
Torrez Finney,100,90,80,0,0,35,0,305
Charles Bennett,200,90,0,0,0,14,0,304
Jafel Filho,100,180,0,0,0,24,0,304
Ryan Benoit,200,0,0,0,70,33,0,303
Rich Attonito,100,0,160,0,0,43,0,303
Julia Avila,100,90,80,0,0,33,0,303
Marcus Hicks,0,270,0,0,0,7,25,302
Shonie Carter,100,0,160,0,0,42,0,302
Teruto Ishihara,200,0,80,0,0,21,0,301
Mauricio Ruffy,200,0,80,0,0,21,0,301
Neil Seery,0,90,160,0,0,50,0,300
Jamie Pickett,100,0,160,0,0,40,0,300
Russell Doane,100,90,0,0,70,39,0,299
Reza Madadi,100,180,0,0,0,19,0,299
Charles Radtke,200,0,80,0,0,19,0,299
Joe Soto,0,180,80,0,0,14,25,299
Andrew Craig,100,0,80,0,70,49,0,299
Chase Beebe,0,0,160,0,0,64,75,299
Sarah Moras,100,90,80,0,0,28,0,298
Bartosz Fabinski,0,0,240,0,0,58,0,298
Nicholas Musoke,0,90,160,0,0,47,0,297
Claude Patrick,0,90,160,0,0,47,0,297
Joby Sanchez,100,0,80,0,70,46,0,296
Mike Easton,100,0,80,75,0,40,0,295
Bruna Brasil,100,0,160,0,0,35,0,295
Kleydson Rodrigues,100,0,80,0,0,115,0,295
Pete Spratt,0,270,0,0,0,25,0,295
Stephanie Egger,100,180,0,0,0,14,0,294
Jason Saggo,200,0,0,0,70,24,0,294
Natan Levy,0,90,160,0,0,44,0,294
Justin Ledet,0,90,80,0,70,54,0,294
Juliana Lima,0,0,240,0,0,53,0,293
David Dvorak,0,90,160,0,0,43,0,293
Enson Inoue,0,270,0,0,0,21,0,291
Manny Bermudez,0,270,0,0,0,21,0,291
Blas Avena,100,180,0,0,0,10,0,290
Jai Herbert,100,0,160,0,0,30,0,290
Bas Rutten,200,0,0,0,70,20,0,290
Leandro Silva,0,90,160,0,0,40,0,290
Tony DeSouza,0,180,80,0,0,30,0,290
Steven Peterson,100,0,80,0,70,40,0,290
Fabiano Iha,100,180,0,0,0,9,0,289
Rob Emerson,100,0,80,0,70,39,0,289
Remco Pardoel,100,180,0,0,0,9,0,289
Viktoriia Dudakova,100,0,160,0,0,28,0,288
Billy Evangelista,0,0,80,0,140,68,0,288
Tom Erikson,0,180,80,0,0,28,0,288
SeungGuk Choi,0,0,240,0,0,48,0,288
Joe Doerksen,0,180,80,0,0,2,25,287
Lukasz Brzeski,0,90,80,0,0,117,0,287
Alexander Yakovlev,100,90,80,0,0,17,0,287
Askar Askarov,0,0,240,0,0,47,0,287
Alberto Mina,200,0,0,0,70,17,0,287
Francis Marshall,100,0,80,0,70,36,0,286
Jeremy Kennedy,0,0,240,0,0,46,0,286
Ashley Yoder,0,0,160,0,70,55,0,285
Herbert Burns,100,180,0,0,0,5,0,285
Andre Lima,0,0,160,0,70,55,0,285
Jonathan Goulet,100,90,0,75,0,19,0,284
Matt Grice,0,0,80,0,70,134,0,284
Aleksa Camur,100,0,80,0,0,104,0,284
Makoto Takimoto,0,90,160,0,0,34,0,284
Frank Camacho,100,0,0,0,70,113,0,283
Ramiz Brahimaj,100,180,0,0,0,3,0,283
Dong Hyun Ma,100,0,80,0,70,32,0,282
Kamal Shalorus,100,0,80,0,70,31,0,281
Damacio Page,100,90,80,0,0,11,0,281
Garrett Armfield,100,0,80,0,0,101,0,281
Muhammad Naimov,200,0,80,0,0,1,0,281
Shayilan Nuerdanbieke,100,0,160,0,0,20,0,280
Jimmy Flick,0,270,0,0,0,10,0,280
Brad Scott,0,180,0,0,70,29,0,279
Matt Sayles,100,90,0,0,0,88,0,278
