name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Dennis Siver,300,180,480,75,0,315,25,1375
Conor McGregor,800,0,80,75,0,141,275,1371
Rose Namajunas,200,270,320,0,140,162,275,1367
Ed Herman,400,450,240,0,70,207,0,1367
Joe Lauzon,500,630,80,0,70,84,0,1364
Alex Morono,200,180,640,0,70,274,0,1364
Tim Sylvia,500,0,320,0,0,292,250,1362
Kenny Florian,200,720,160,0,0,207,75,1362
Yair Rodriguez,400,90,240,0,140,288,200,1358
Stefan Struve,500,540,80,75,0,102,50,1347
Zhang Weili,200,180,320,0,70,398,175,1343
Thiago Silva,1000,90,80,0,0,165,0,1335
Alexander Gustafsson,500,180,240,0,0,230,175,1325
Jake Matthews,100,450,400,0,70,304,0,1324
Dong Hyun Kim,400,90,480,0,140,184,25,1319
Francis Ngannou,900,90,80,0,0,95,150,1315
Renan Barao,200,450,320,0,0,191,150,1311
John Makdessi,300,0,480,0,140,391,0,1311
Marcin Tybura,400,90,480,75,0,165,100,1310
Chris Lytle,200,540,240,0,70,256,0,1306
Cory Sandhagen,400,90,160,0,140,341,175,1306
Mike Pyle,500,360,240,0,70,134,0,1304
Tim Boetsch,700,0,240,0,140,198,25,1303
Jared Cannonier,600,0,240,0,70,217,175,1302
Evan Dunham,100,90,400,0,210,502,0,1302
Thales Leites,200,450,400,0,70,129,50,1299
Brendan Allen,100,720,240,0,70,114,50,1294
Sergei Kharitonov,800,270,0,0,70,146,0,1286
Gabriel Gonzaga,700,360,80,0,0,90,50,1280
Mark Munoz,600,0,320,0,70,189,100,1279
Li Jingliang,800,0,160,0,70,244,0,1274
Michael Chiesa,0,720,400,0,0,99,50,1269
Chael Sonnen,0,180,560,0,0,397,125,1262
Patrick Cote,700,0,320,0,70,116,50,1256
Court McGee,0,270,560,0,70,355,0,1255
Nikita Krylov,400,450,160,0,0,244,0,1254
Corey Anderson,300,0,560,0,0,362,25,1247
Cheick Kongo,600,0,240,75,0,331,0,1246
Renato Moicano,100,540,160,0,140,227,75,1242
Jairzinho Rozenstruik,800,0,0,0,70,222,150,1242
Danny Castillo,500,0,400,0,140,199,0,1239
Magomed Ankalaev,600,0,400,0,0,189,50,1239
