name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus
Andrei Arlovski,1375,255,870,0,260,483,225
Vladimir Matyushenko,400,25,345,0,70,115,25
Yushin Okami,475,25,715,25,140,188,50
Heath Herring,525,475,285,0,140,287,0
Mark Kerr,275,450,130,0,0,90,0
Leonard Garcia,200,140,150,0,260,16,25
Allen Berube,0,25,0,0,0,0,0
David Terrell,125,90,0,0,0,12,25
Scott Smith,575,100,50,0,0,5,25
Sumudaerji,100,75,265,0,70,215,0
Mitch Raposo,0,25,80,0,50,11,0
Megan Anderson,200,140,25,0,0,10,25
Andre Galvao,125,90,0,0,25,49,0
Jorge Patino,25,0,50,0,0,0,0
Holly Holm,225,50,475,0,95,221,225
Marion Reneau,225,180,205,0,25,137,0
Fedor Emelianenko,725,835,400,0,0,427,50
Satoshi Ishii,25,0,185,0,0,8,0
Mauricio Rua,2275,165,315,0,165,539,225
Alistair Overeem,2250,655,345,75,0,617,250
Alex Oliveira,450,395,315,0,70,194,25
Joe Merritt,0,0,25,0,0,12,0
Paulo Costa,425,0,290,0,25,138,75
Eddie Alvarez,450,115,105,0,140,131,75
Gilbert Melendez,700,25,685,0,190,587,300
Raul Rosas Jr.,100,180,265,0,0,42,0
Jay Perrin,0,25,75,0,0,21,0
Tatiana Suarez,100,360,265,0,0,193,25
Carla Esparza,150,115,345,75,260,76,100
Josh Koscheck,675,345,475,0,95,146,25
Frank Trigg,350,75,160,0,0,117,50
Rafa Garcia,125,90,395,0,0,138,0
Natan Levy,0,115,185,0,0,44,0
Shinya Aoki,175,1440,505,0,70,124,50
Matt Mitrione,850,50,105,0,0,131,25
Derrick Lewis,1775,50,185,0,140,307,325
Mario Bautista,125,295,425,0,70,219,0
Da'Mon Blackshear,125,270,155,0,0,130,0
Jiri Prochazka,550,90,0,0,0,55,100
Glover Teixeira,750,745,260,0,70,267,250
Dwight Grant,250,0,25,0,190,74,0
Carlo Pedersoli Jr.,50,0,0,0,70,9,0
Fares Ziam,200,25,345,75,70,187,0
Michal Figlak,0,0,50,0,0,4,0
Ivan Salaverry,225,205,50,0,0,117,0
Randy Brown,475,320,505,0,95,288,25
Elizeu Zaleski dos Santos,475,90,345,0,190,235,0
Will Brooks,125,50,80,0,0,95,0
Joshua Van,325,0,400,0,70,341,25
Felipe Bunes,25,90,25,0,0,0,0
Nick Catone,0,140,80,0,165,37,0
Paulo Filho,100,630,185,0,70,118,50
Kazuo Misaki,125,25,315,0,140,75,0
Montana De La Rosa,100,295,180,0,70,59,0
Nadia Kassem,25,25,80,0,0,7,0
Lavar Johnson,500,75,25,0,0,153,0
Dennis Hallman,175,180,130,0,0,28,25
John Makdessi,350,25,605,0,165,391,0
Dhiego Lima,200,25,130,0,140,55,0
Luke Jumeau,0,0,185,0,25,0,0
Loma Lookboonmee,0,90,475,0,70,187,0
Istela Nunes,50,25,25,25,0,43,0
Paulo Thiago,150,90,390,0,0,54,0
Francis Ngannou,900,90,130,0,0,95,150
Jairzinho Rozenstruik,850,25,75,0,70,222,150
Mark Hall,125,50,0,0,0,2,0
Harold Howard,150,0,0,0,0,9,0
Jack Hermansson,425,295,425,0,25,380,125
Kelvin Gastelum,300,255,580,0,285,222,150
Rich Franklin,1225,450,345,0,25,534,175
Wanderlei Silva,1825,90,445,0,165,469,100
Josiane Nunes,125,0,185,0,25,63,0
Zarah Fairn,25,25,50,0,0,15,0
Jalin Turner,550,295,25,0,50,182,0
Jamie Mullarkey,300,0,290,0,70,104,0
Jaime Alvarez,0,0,80,0,0,0,0
Martin Day,25,25,50,0,25,72,0
Stephen Thompson,650,25,580,25,25,422,200
Patrick Cote,750,75,445,0,95,116,50
Shamil Gaziev,250,90,80,0,0,49,25
Martin Buday,125,90,320,0,140,102,0
Minoki Ichihara,0,25,0,0,0,1,0
Daniel Cormier,825,360,530,0,70,468,250
Stipe Miocic,1000,0,425,0,0,327,325
Jack Jenkins,225,25,160,0,70,143,0
Jamall Emmers,250,25,240,0,50,115,0
Michel Prazeres,0,295,395,0,210,125,0
Mairbek Taisumov,500,0,210,0,0,63,0
Bojan Velickovic,100,0,105,0,50,15,0
Alessio Di Chirico,250,25,100,0,140,36,0
Mike Pyle,675,410,265,0,70,134,0
Jesse Lennox,100,25,0,0,25,18,0
Julianna Pena,200,255,265,0,70,142,125
Jessica Rakoczy,25,0,25,0,0,8,0
Johnny Eduardo,225,75,105,0,0,52,0
Jeff Curran,0,25,230,0,25,12,25
Torrez Finney,100,90,80,0,70,35,0
Yuri Panferov,0,25,80,0,0,25,0
Diego Lopes,300,90,235,0,0,111,50
Dan Ige,500,180,465,0,140,155,50
Pat Barry,500,75,80,0,0,18,0
Christian Morecraft,75,90,0,0,0,39,0
John Moraga,225,295,210,0,95,141,25
Chris Cariaso,100,165,555,0,165,290,25
Antonio Rodrigo Nogueira,375,1220,635,0,25,201,100
Tarec Saffiedine,125,0,635,0,120,290,75
James Terry,100,0,25,0,25,0,0
Carlos Newton,75,475,210,0,120,27,75
Joselyne Edwards,200,90,260,0,140,258,0
Tamires Vidal,125,25,0,0,25,4,0
King Green,425,230,765,0,165,915,50
Lance Gibson Jr.,0,0,0,0,25,0,0
Doug Marshall,325,90,0,0,0,42,75
Jeff Terry,25,0,0,0,0,0,0
Justin McCully,0,25,185,0,0,0,0
Antoni Hardonk,450,25,25,0,0,64,0
Macy Chiasson,225,205,235,0,70,130,0
Norma Dumont,25,0,560,0,165,297,25
Sean Woodson,325,25,240,0,140,205,0
Brian Ebersole,125,0,265,0,165,70,0
John Howard,250,0,155,0,305,20,0
ChangHo Lee,300,0,25,0,70,106,0
Cortavious Romious,50,0,105,0,0,11,0
Abus Magomedov,125,115,185,0,0,23,25
Warlley Alves,275,295,235,0,25,98,0
Erin Blanchfield,0,360,345,0,0,166,75
Miranda Maverick,0,180,475,0,25,185,0
Jeremy Stephens,775,75,730,0,145,295,75
Sam Stout,175,50,500,0,260,152,0
Rose Namajunas,225,295,450,0,190,162,275
Joanna Jedrzejczyk,250,0,610,0,95,894,275
Jon Tuck,100,180,155,0,50,13,0
War Machine,100,25,0,0,0,0,0
Jared Rollins,25,0,0,0,0,11,0
Te Edwards,125,0,25,0,0,1,0
Austin Tweedy,25,0,0,0,0,0,0
Jack Shore,0,320,160,0,70,154,0
Nohelin Hernandez,0,50,0,0,0,12,0
Matt Wiman,300,270,500,0,0,170,0
Justin Buchholz,0,140,25,0,0,0,0
Amir Sadollah,125,90,340,0,70,228,0
Phil Baroni,575,140,255,25,0,114,25
Justin Tafa,450,0,50,0,25,19,0
Harry Hunsucker,100,0,0,0,0,0,0
Nicolas Dalby,125,0,395,0,235,151,0
Ian Machado Garry,300,0,505,0,70,317,50
Michael Page,0,0,265,0,0,28,0
Devin Cole,125,0,105,0,0,82,0
Shawn Jordan,650,90,75,0,0,91,0
Brad Tavares,350,0,980,0,235,299,25
Andre Soukhamthath,100,0,155,0,50,8,0
Luke Sanders,125,165,105,0,0,146,0
Joshua Burkman,150,215,315,25,95,90,0
Drew Fickett,50,385,105,0,0,50,0
Rulon Gardner,0,0,80,0,0,12,0
Hidehiko Yoshida,50,540,130,0,25,16,0
Tatsuro Taira,300,270,160,0,25,141,75
Brandon Moreno,225,270,395,0,120,230,225
Shara Magomedov,200,0,265,0,0,188,0
Antonio Trocoli,25,50,0,0,0,1,0
Azamat Murzakanov,600,0,80,0,0,122,0
Alonzo Menifield,600,180,290,0,70,107,0
Cory Sandhagen,500,115,235,0,165,389,225
Raphael Assuncao,275,165,690,0,305,323,25
Sijara Eubanks,125,0,420,0,0,163,0
Sarah Moras,125,90,205,0,0,28,0
Melvin Guillard,725,150,185,0,165,214,0
Ronys Torres,0,0,25,0,25,0,0
Jeff Monson,125,270,180,0,70,42,25
Frank Mir,700,720,235,0,0,104,200
Genki Sudo,0,180,25,0,0,4,0
Leigh Remedios,0,25,0,0,0,0,0
Alatengheili,100,0,315,0,70,17,0
Kevin Croom,25,0,50,0,0,22,0
Evan Tanner,475,360,160,0,25,215,75
Darrel Gholar,0,25,0,0,0,0,0
Mark Coleman,775,575,345,0,25,322,0
Ricardo Morais,125,0,25,0,0,12,0
Phil Rowe,500,0,75,0,25,68,0
Orion Cosce,150,0,80,0,0,38,0
Tim Kennedy,350,360,290,0,0,198,100
Rodrigo Nascimento,50,180,105,0,140,30,25
Ilir Latifi,375,180,315,0,95,69,0
Riki Fukuda,0,0,315,0,0,120,0
Steve Cantwell,225,180,125,0,0,50,25
Dan Cramer,0,0,25,0,70,8,0
Matt Arroyo,25,90,0,0,25,3,0
Benson Henderson,125,475,530,0,280,389,350
Brandon Thatch,200,100,0,0,0,26,25
Leandro Issa,0,205,50,0,0,28,0
Sarah Alpar,25,90,25,0,0,5,0
Shanna Young,125,25,50,0,0,1,0
Sara McMann,125,370,480,25,70,137,25
Sheila Gaff,50,0,0,0,0,0,0
Saidyokub Kakhramonov,0,115,80,0,0,45,0
Ronnie Lawrence,100,0,185,0,0,82,0
Josh Thomson,425,450,500,75,75,311,125
Pat Healy,0,230,500,0,25,79,0
Paul Buentello,575,90,0,25,0,70,50
Kevin Jordan,25,50,0,0,0,9,0
Ricardo Almeida,25,295,425,0,25,134,0
Eugene Jackson,350,255,80,0,0,27,25
Trevor Prangley,50,230,210,0,0,97,0
Falaniko Vitale,225,0,25,0,0,7,0
Dan Christison,0,90,25,0,0,15,0
Brad Imes,0,25,25,0,25,0,0
Amanda Ribas,175,205,345,0,25,242,50
Jon Jones,600,540,720,0,70,742,400
Dominick Reyes,700,90,105,0,70,238,125
Alessio Sakara,500,50,105,0,70,100,0
Thales Leites,225,450,525,0,120,129,50
Raquel Pennington,25,270,610,0,285,322,75
Mayra Bueno Silva,0,450,205,0,0,40,25
Ben Rothwell,975,295,285,0,140,116,25
Chris Guillen,25,0,0,0,0,0,0
Gregor Gillespie,425,180,80,0,0,101,0
Glaico Franca Moreira,0,90,50,0,0,5,0
Jorge de Oliveira,0,25,25,0,0,0,0
Katlyn Cerminara,50,0,770,0,190,166,25
CJ Vergara,225,50,130,0,70,77,0
Brian Melancon,100,25,0,0,0,11,0
Seth Baczynski,175,180,155,0,70,51,0
Cole Miller,150,630,310,0,25,71,0
Sam Sicilia,350,75,210,0,0,31,0
Hermes Franca,225,270,210,25,25,51,50
Pedro Munhoz,300,270,495,0,75,161,25
Jasmine Jasudavicius,25,270,530,0,0,111,0
Gabriella Fernandes,0,90,130,0,70,2,0
Dave Herman,275,25,0,0,0,43,0
Ron Waterman,175,180,160,0,0,68,0
Dominick Cruz,150,25,745,0,210,416,275
Charlie Valencia,150,140,185,0,70,49,0
