name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus
Antonio Silva,800,90,105,0,70,119,125
Ricco Rodriguez,625,90,260,0,25,194,50
Daniel Rodriguez,325,115,450,0,140,356,0
Alex Morono,275,180,740,0,120,274,0
Belal Muhammad,225,90,980,0,70,320,100
Kevin Randleman,275,150,450,0,25,139,75
Renato Sobral,125,540,265,75,0,174,75
Robert Whittaker,675,25,825,0,120,458,250
Kazuyuki Fujita,375,230,185,0,0,41,0
Cole Province,25,0,105,0,0,0,0
Fredson Paixao,25,90,50,0,70,5,0
Don'Tale Mayes,425,75,260,0,0,98,0
Roque Martinez,0,25,25,0,25,0,0
Malcolm Wellmaker,200,0,0,0,0,19,0
Kris Moutinho,75,0,0,0,0,0,0
Duane Ludwig,425,100,240,0,70,216,0
Troy Mandaloniz,100,0,25,0,0,10,0
Richie Hightower,25,0,0,0,0,0,0
Demetrious Johnson,200,540,690,0,95,650,350
Marcus Jones,25,0,0,0,0,0,0
Satoshi Honma,125,0,25,0,0,53,0
Michelle Waterson-Gomez,25,410,260,0,190,145,125
Danny Martinez,0,0,180,0,0,14,0
Richie Vaculik,50,0,105,0,0,16,0
Jimmy Crute,325,410,0,0,0,74,0
Ivan Erslan,0,25,0,0,25,0,0
Xiao Long,100,0,50,75,95,107,0
Quang Le,25,90,25,0,0,5,0
Vaughan Lee,25,140,185,0,25,139,0
Katsuhisa Fujii,125,115,0,0,0,36,0
Jin Oh Kim,0,25,0,0,0,0,0
Joseph Benavidez,650,385,850,0,145,423,125
Andre Fili,475,75,420,0,375,115,0
Karl Roberson,150,280,80,0,70,77,0
Denise Gomes,300,0,290,0,70,180,0
Rayanne dos Santos,0,0,50,0,50,21,0
Donald Cerrone,1175,950,870,0,25,443,300
James Krause,325,205,370,0,50,220,0
Magomed Ankalaev,625,25,480,0,0,207,100
Ion Cutelaba,475,190,210,0,95,241,0
Danny Castillo,575,50,425,25,215,199,0
Rafael Dias,25,0,105,0,0,6,0
Joanderson Brito,200,180,210,0,25,71,0
Westin Wilson,75,90,0,0,0,0,0
Marina Rodriguez,350,0,345,0,145,367,75
Jessica Aguilar,0,25,155,0,0,47,0
Dennis Buzukja,125,0,130,0,25,42,0
Connor Matthews,50,25,105,0,0,23,0
Ricky Glenn,150,0,180,0,140,136,0
Gavin Tucker,25,205,185,0,0,127,0
Pat Sabatini,50,270,400,0,0,80,0
Tucker Lutz,0,25,290,0,0,72,0
James McSweeney,150,0,0,0,0,42,0
Darrill Schoonover,25,0,0,0,0,0,0
Elias Urbina,25,0,0,0,0,0,0
Daijiro Matsui,25,25,210,0,25,28,0
Desmond Green,100,0,235,0,70,114,0
Uriah Hall,675,0,155,0,145,71,75
Thiago Santos,1175,75,315,0,25,376,175
Joby Sanchez,125,25,105,0,95,46,0
JP Buys,100,90,25,0,0,22,0
Rongzhu,200,115,185,0,0,149,0
Austin Hubbard,0,50,340,0,50,100,0
Virna Jandiroba,0,270,420,0,0,16,50
Angela Hill,100,140,970,0,170,453,50
Bryan Travers,0,0,25,0,0,0,0
Cody McKenzie,25,230,105,0,0,15,0
Aaron Wilkinson,0,25,0,0,0,0,0
Edmen Shahbazyan,775,115,105,0,70,156,0
Deiveson Figueiredo,425,385,370,0,140,61,200
Jared Cannonier,775,0,390,0,70,222,200
Jared Rosholt,125,0,425,0,0,90,0
Loopy Godinez,0,180,500,0,165,146,0
Damon Jackson,150,230,210,0,70,50,0
James Vick,300,270,345,0,0,162,25
Samandar Murodov,0,90,80,0,0,20,0
Jonathan Piersma,0,0,25,0,0,0,0
Gary Goodridge,1350,240,50,0,70,183,0
Jerry Bohlander,25,360,80,0,0,18,0
Motonobu Tezuka,0,0,25,0,25,0,0
Chuck Liddell,1250,25,480,0,25,287,175
Sergio Moraes,175,270,210,0,140,15,0
Andre Lima,0,90,160,0,70,130,0
Igor Severino,100,0,0,0,0,44,0
Michael Johnson,675,125,820,25,120,418,50
Shuya Kamikubo,0,0,0,25,70,20,0
Georges St-Pierre,825,565,800,0,140,892,375
Jason Miller,125,180,180,0,0,84,50
Eric Schafer,175,180,75,0,0,36,0
Myles Jury,325,115,290,0,70,149,0
Luke Stewart,325,270,0,0,0,86,0
Sam Liera,25,0,0,0,0,0,0
Curtis Blaydes,800,0,400,0,70,309,200
Derek Brunson,875,180,505,0,0,205,125
Daniel Pineda,150,360,150,0,0,87,0
Mickey Gall,75,450,180,0,0,22,0
Salim Touahri,0,0,50,0,25,0,0
Luis Gomez,0,25,0,0,0,0,0
Anthony Njokuani,525,50,260,0,25,292,0
Chris Horodecki,25,115,0,0,140,91,0
Jessica Andrade,700,395,555,0,165,612,150
Ketlen Souza,0,115,80,0,50,49,0
Liang Na,75,25,0,0,0,0,0
Mackenzie Dern,25,450,395,25,140,147,125
Rick Story,225,205,450,0,285,440,25
Jordan Rinaldi,25,90,130,0,0,12,0
Gray Maynard,225,0,610,0,210,53,50
Kenny Florian,225,745,235,0,0,207,75
Atsushi Yamamoto,100,0,80,0,50,47,0
Yusaku Nakamura,25,0,0,0,0,0,0
Moti Horenstein,50,0,0,0,0,0,0
Walt Harris,725,25,25,0,25,104,25
Daniel Spitz,125,0,50,0,0,5,0
Casey Kenney,0,90,425,0,75,120,0
Johny Hendricks,675,0,555,75,190,146,100
Justin Haskins,50,0,0,0,0,0,0
Nate Quarry,550,25,160,0,0,151,25
Lodune Sincaid,50,25,0,0,0,0,0
Francisco Trinaldo,400,230,870,0,140,292,0
CJ Keith,25,25,0,0,0,0,0
Bogdan Guskov,300,115,0,0,0,50,0
Ryan Spann,400,500,80,0,95,44,25
Allan Nascimento,0,180,160,0,50,45,0
Muhammad Mokaev,0,360,240,0,0,39,0
Jafel Filho,100,295,25,0,0,26,0
Ray Borg,0,205,450,0,50,86,25
Shane Howell,0,25,25,0,0,0,0
Aspen Ladd,325,0,130,0,0,41,50
Lerone Murphy,300,0,400,0,70,271,50
Ricardo Ramos,250,165,290,0,140,27,0
Diego Brandao,150,205,185,0,0,46,25
Pablo Garza,100,165,105,0,0,58,0
Brendan Schaub,400,90,160,0,25,97,0
Ruan Potts,75,0,0,0,0,0,0
Jim Miller,650,1245,780,25,140,292,50
Bryan Barberena,450,165,340,25,70,291,0
Movsar Evloev,0,0,640,0,70,199,0
Aaron Phillips,0,25,75,0,0,0,0
Akihiro Gono,50,360,290,0,95,44,0
Dae Won Kim,25,25,0,0,0,0,0
Wes Albritton,25,0,0,0,0,0,0
Niko Price,500,230,210,0,0,70,0
Cathal Pendred,25,90,160,0,95,17,0
Mike King,0,25,0,0,0,27,0
Khalil Rountree Jr.,800,25,210,0,70,141,50
Daniel Jolly,50,0,0,0,0,0,0
Alexander Volkanovski,550,0,665,0,70,804,250
Assuerio Silva,100,115,25,25,25,4,0
Valentijn Overeem,50,165,0,0,0,12,0
Aaron Rosa,75,90,0,75,0,40,0
Anthony Ruiz,100,50,50,0,0,84,25
Merab Dvalishvili,100,115,985,0,25,500,150
Umar Nurmagomedov,100,180,345,0,0,234,50
Alex Hunter,0,90,0,0,70,6,0
Sam Fulton,0,25,0,0,0,0,0
Samy Schiavo,25,25,0,0,0,0,0
Jesse Forbes,50,25,0,0,25,0,0
Steve Garcia,825,0,105,0,0,218,25
Calvin Kattar,425,0,390,0,25,76,125
Gilbert Yvel,300,50,100,0,0,21,0
Frank Shamrock,325,450,0,0,0,106,100
Igor Zinoviev,25,0,0,0,0,0,0
Roman Dolidze,500,25,290,25,70,138,75
Kamal Shalorus,125,50,80,0,70,31,0
Dave Jansen,0,0,130,0,0,2,0
Karine Silva,0,360,210,0,0,27,0
Rogerio Nogueira,900,360,420,0,235,266,25
Todd Gouwenberg,25,0,0,0,0,0,0
Alexis Davis,125,115,500,25,140,121,25
Cindy Dandois,0,0,25,0,0,0,0
Taila Santos,0,90,345,0,50,118,25
Gillian Robertson,325,655,340,0,0,177,0
Mike Perry,425,25,285,0,95,95,0
Court McGee,75,270,785,0,95,355,0
Chase Sherman,375,50,230,0,0,173,0
Alex Caceres,125,485,660,0,285,516,25
Chase Hooper,250,360,290,0,0,283,0
Louie Sutherland,0,25,0,0,0,0,0
Devonte Smith,350,0,0,0,25,67,0
Joe Lowry,25,0,25,0,0,12,0
Dan Severn,25,525,160,0,70,84,0
Phillipe Nover,25,0,75,0,120,0,0
Sam Spengler,125,0,0,0,0,11,0
Frank Megallon,25,0,0,0,0,0,0
Montel Jackson,400,90,450,0,25,236,0
Juliana Lima,0,25,315,0,0,53,0
Chad Griggs,300,50,0,0,0,24,0
Gian Villante,625,25,180,25,260,103,0
Jean Matsumoto,0,90,160,0,95,18,0
Kasey Tanner,0,0,25,0,0,0,0
Richard Walsh,25,0,210,0,25,145,0
Steve Kennedy,0,25,25,0,0,0,0
Brad Blackburn,125,0,105,0,70,112,0
Hailey Cowan,0,25,25,0,70,7,0
Claudia Leite,0,0,0,0,25,0,0
Patrick Cummins,325,25,265,0,70,201,0
Tafon Nchukwi,150,0,185,25,0,162,0
Al Matavao,25,0,0,0,0,8,0
Marcos Vinicius,150,0,0,0,0,11,0
Wagner Campos,25,0,0,0,0,0,0
Pete Spratt,0,420,0,0,0,25,0
Rashad Coulter,75,0,80,0,0,6,0
John Hathaway,125,0,425,0,70,226,25
Oleg Taktarov,25,450,105,0,0,0,0
Rashid Magomedov,100,0,265,0,70,141,0
Chris Lytle,200,540,390,0,120,256,0
Paul Taylor,200,25,155,0,95,123,0
Khamzat Chimaev,200,360,160,75,0,138,75
Taylor Lapilus,100,0,450,0,0,234,0
Drew Dober,1050,190,340,0,0,213,0
John Renken,0,25,0,0,0,0,0
Caol Uno,200,90,340,0,0,77,25
Kenny Robertson,125,180,105,25,50,100,0
Ildemar Alcantara,0,90,155,0,140,24,0
Cortney Casey,100,205,260,0,170,166,0
Daniel Kelly,175,90,265,0,70,38,0
Enson Inoue,25,295,25,0,0,21,0
Branko Cikatic,0,25,0,0,0,1,0
Rich Attonito,125,0,185,0,0,43,0
Ramazan Temirov,100,0,80,0,0,19,0
Chad Anheliger,100,25,130,0,70,83,0
Charalampos Grigoriou,100,25,25,0,0,33,0
Jason Tan,50,0,0,0,0,0,0
Jack Marshman,125,50,130,0,70,6,0
Magnus Cedenblad,125,205,80,0,0,12,0
Montse Rendon,0,0,25,0,140,17,0
Abongo Humphrey,25,115,25,0,0,0,0
George Bush,0,25,0,0,0,7,0
Jong Man Kim,0,0,25,0,0,0,0
Chepe Mariscal,100,0,265,0,70,131,0
Trevor Peek,200,0,155,0,0,75,0
Rafael Dos Anjos,500,475,1105,0,95,485,350
Augusto Sakai,400,0,80,0,140,150,50
Marcos Conrado Jr.,25,0,0,0,0,0,0
Joe Riggs,500,190,210,0,0,158,0
Jaqueline Amorim,100,270,50,0,0,86,0
Vanessa Demopoulos,0,115,285,0,140,4,0
Dennis Siver,375,230,555,75,0,315,25
Matt Hobar,25,0,105,0,0,25,0
Ricardo Funch,25,50,25,0,0,15,0
Ramsey Nijem,275,25,240,0,25,137,0
Jeremy Larsen,75,0,0,0,0,16,0
Jack Della Maddalena,400,90,185,0,140,241,50
Ramazan Emeev,25,0,345,0,95,65,0
Rafael Cavalcante,875,0,50,0,0,68,50
Vernon White,25,25,50,0,0,0,0
Morgan Charriere,325,0,25,0,25,29,0
Gabriel Miranda,75,90,0,0,0,1,0
Tyson Griffin,250,90,450,0,120,292,0
Ronny Markes,50,0,160,0,70,39,0
Aaron Simpson,350,0,345,0,95,192,0
Lucas Alexander,50,25,80,0,0,66,0
Thiago Alves,750,165,550,0,70,316,50
Shana Dobson,250,0,50,0,0,12,0
Ariel Beck,25,0,0,0,0,1,0
Greg Hardy,575,0,105,0,0,137,0
Yorgan De Castro,225,0,50,0,0,16,0
Buddy Roberts,25,0,80,0,0,13,0
Tanner Boser,325,0,210,0,50,272,0
Scott Jorgensen,250,345,605,0,25,183,50
John Albert,100,100,0,0,0,24,0
Kazuyuki Miyata,0,50,240,0,95,45,0
Eric Wisely,0,25,50,0,0,0,0
Yan Xiaonan,125,0,610,75,25,386,50
Tabatha Ricci,125,90,345,0,95,58,0
Yizha,100,180,105,0,95,43,0
Miesha Tate,125,525,605,75,0,158,150
Pat Miletich,125,295,80,0,140,55,75
John Alessio,0,345,260,0,0,85,25
Gilbert Burns,400,450,685,0,0,195,125
Brock Lesnar,350,115,80,0,0,116,125
Ryan Jimmo,250,0,130,0,0,61,0
Sean O'Connell,275,0,25,0,25,33,0
Tecia Pennington,0,90,870,0,50,460,0
Sherron Leggett,125,0,0,0,0,26,0
Charlie Kohler,25,0,0,0,0,0,0
Michel Pereira,250,270,290,0,70,200,25
Michal Oleksiejczuk,800,125,50,0,70,131,0
Julia Polastri,100,90,75,0,70,147,0
Patricia Alujas,0,25,0,0,0,0,0
David Zawada,25,90,25,0,50,0,0
Ramona Pascual,25,0,50,0,0,0,0
Chris Daukaus,500,0,0,0,0,76,50
Jamey-Lyn Horth,100,0,185,0,95,96,0
Ivana Petrovic,0,90,50,0,25,15,0
Andreas Gustafsson,25,0,80,0,0,59,0
Khaos Williams,400,25,130,0,95,68,0
Darren Uyenoyama,25,90,105,0,25,6,0
Norifumi Yamamoto,100,25,75,0,25,25,0
Brian Bowles,225,385,80,0,0,30,50
Damacio Page,100,215,80,0,0,11,0
Nate Mohr,25,50,80,0,0,44,0
Davey Grant,300,190,265,0,120,276,0
Grigory Popov,25,0,0,0,25,5,0
Nate Landwehr,200,180,105,75,0,65,0
Christian Leroy Duncan,500,0,130,0,0,173,0
Fatima Kline,200,0,105,0,0,121,0
Melvin Manhoef,525,125,0,0,0,85,0
Rob Font,600,115,495,0,70,550,100
Kyler Phillips,200,90,370,25,0,227,0
Daermisi Zhawupasi,25,90,80,0,25,2,0
Ren Ozaki,0,0,25,0,0,2,0
Lyman Good,300,25,25,0,25,82,0
Paul Felder,400,90,185,0,240,101,50
Joe Stevenson,250,525,390,0,0,125,25
Kurt Pellegrino,100,410,210,0,25,98,0
Luana Carolina,125,25,425,0,95,238,0
Mabelly Lima,0,0,25,0,0,0,0
Vicente Luque,750,565,205,0,70,129,50
Anderson Silva,2000,320,715,0,0,600,375
Murad Chunkaiev,0,25,0,0,0,0,0
Sean O'Malley,725,25,265,0,70,543,100
David Onama,225,90,265,25,0,79,25
Maheshate,125,0,130,0,70,1,0
Benoit Saint Denis,425,360,25,0,0,176,50
Alexander Otsuka,175,115,180,0,0,40,0
Kenichi Yamamoto,50,115,105,0,0,15,25
Brian Foster,200,140,0,0,0,53,0
Brock Larson,225,295,130,0,0,44,25
Matt Lindland,500,165,320,75,25,238,25
Lorenz Larkin,425,0,395,0,95,205,0
Ryan LaFlare,50,0,585,0,0,167,25
Alex Garcia,225,90,180,0,70,25,0
Matt Serra,250,90,260,75,95,64,50
Kelly Dullanty,0,25,0,0,0,0,0
Juan Andres Luna,0,0,0,0,25,4,0
Bea Malecki,25,90,80,0,0,37,0
Veronica Hardy,25,115,315,0,70,96,0
Tamdan McCrory,150,230,80,0,25,65,0
Roy Nelson,850,0,280,0,50,41,100
Alexander Hernandez,575,25,370,0,95,127,0
Olivier Aubin-Mercier,100,360,180,0,95,71,0
Remco Pardoel,100,230,0,0,0,9,0
Ryan Parker,0,25,0,0,0,0,0
Wagnney Fabiano,0,140,240,0,0,48,0
Mizuki,0,0,185,0,70,44,0
Yazmin Jauregui,125,25,160,0,0,76,0
Aleksandar Rakic,275,0,345,0,25,179,25
Danny Barlow,225,0,25,0,70,65,0
Josh Quinlan,125,0,25,0,25,2,0
Travis Browne,800,115,130,0,0,106,75
Rinya Nakamura,300,90,185,0,0,87,0
Nathan Fletcher,25,0,0,0,25,29,0
Jimy Hettes,25,180,105,0,0,65,0
Nam Phan,0,0,230,0,145,120,0
Teemu Packalen,50,90,25,0,0,6,0
Chris Duncan,125,295,160,0,70,63,0
Bolaji Oki,125,25,80,0,70,83,0
Ludovit Klein,200,25,370,75,70,119,0
Shane Young,125,25,155,0,0,90,0
Tiki Ghosn,50,100,0,0,0,23,0
Aleksei Oleinik,200,630,50,25,70,72,75
Conor McGregor,825,50,80,75,0,141,275
Jeremy Horn,225,485,290,0,0,53,25
Jason Godsey,0,50,0,0,0,0,0
Jon Fitch,125,270,770,0,140,326,25
Josh Barnett,775,950,155,0,70,348,100
Andre Winner,100,25,155,0,0,12,0
Rafaello Oliveira,75,25,210,0,0,22,0
Sean Brady,50,360,320,0,0,173,50
Cristiane Justino,925,0,240,0,0,568,200
Leslie Smith,225,0,185,0,0,145,0
Erik Apple,0,25,0,0,0,0,0
Mike Jackson,25,25,0,0,0,1,0
Ian Loveland,0,0,105,0,25,23,0
Tyler Toner,200,0,50,0,0,62,0
Aljamain Sterling,250,360,665,0,190,699,150
Anthony Christodoulou,25,25,0,0,0,0,0
Travis Lutter,125,140,25,0,0,0,0
Jared Gooden,100,90,125,0,0,23,0
Joaquin Buckley,675,0,210,0,70,244,50
Impa Kasanganay,50,90,240,0,0,97,0
Justin Salas,175,25,80,0,70,66,0
Ian Entwistle,50,90,0,0,0,0,0
Lauren Murphy,225,90,285,0,235,84,25
Alan Jouban,450,25,345,0,25,243,0
Brendan O'Reilly,25,0,130,0,0,4,0
Yoshihiro Nakao,0,90,25,0,0,20,0
Dan Henderson,1675,190,525,0,425,274,275
Nicolae Negumereanu,225,0,25,0,140,17,0
Kennedy Nzechukwu,750,140,80,0,120,194,0
Cesar Almeida,200,0,185,0,25,104,0
Loik Radzhabov,125,0,105,0,0,19,0
Esteban Ribovics,200,0,185,0,95,138,0
Masutatsu Yano,25,0,0,0,0,0,0
Luke Caudillo,25,0,50,0,0,0,0
Chris Holdsworth,0,90,80,0,0,1,0
Chico Camus,0,25,235,0,70,45,0
Piera Rodriguez,0,25,320,0,70,82,0
Josefine Knutsson,0,0,345,0,0,168,0
Isaac Vallie-Flagg,0,0,75,0,140,80,0
Gesias Cavalcante,0,0,75,0,95,12,0
Timmy Cuamba,100,0,185,0,25,8,0
Krzysztof Soszynski,200,180,185,0,0,108,0
Shane Primm,0,25,0,0,0,0,0
Luiz Azeredo,150,0,50,0,70,35,0
Germaine de Randamie,425,90,315,0,70,141,75
Zak Ottow,175,0,0,0,235,57,0
John Cholish,100,115,25,0,0,50,0
Max Griffin,325,25,260,75,240,155,0
Song Kenan,375,0,290,0,0,95,0
Rodolfo Bellato,225,0,25,0,0,40,0
George Sotiropoulos,150,360,210,0,0,68,25
Sabina Mazo,0,140,130,0,70,196,0
Justine Kish,0,25,265,0,50,68,0
Marcus LeVesseur,25,25,0,0,70,17,0
Aliaskhab Khizriev,0,180,0,0,0,13,0
Henrique Shiguemoto,0,25,0,0,0,0,0
Paul Daley,725,25,50,0,25,67,50
Junior Barata,25,0,0,0,0,0,0
Jordan Johnson,0,90,160,0,70,52,0
Adam Yandiev,0,25,0,0,0,0,0
Stefan Struve,700,540,155,75,0,102,50
Sean McCorkle,25,115,0,0,0,0,0
Eddie Wineland,925,25,310,0,70,153,50
Ricky Turcios,0,25,75,0,140,114,0
Said Nurmagomedov,200,270,180,0,70,116,0
Ihor Potieria,300,25,105,0,0,39,0
Muin Gafurov,0,25,185,0,25,62,0
Miles Johns,225,50,345,0,95,120,0
Matt Hughes,700,525,400,0,0,343,300
Niklas Stolze,25,25,25,0,0,4,0
Angela Magana,25,25,25,0,0,0,0
John Franchi,0,25,25,0,70,10,0
Antonio Banuelos,75,0,450,0,235,115,0
Chad George,0,25,105,0,0,5,0
Bryan Baker,100,0,25,0,70,28,0
Caio Borralho,200,90,505,0,0,166,50
Jon Olav Einemo,25,0,50,0,0,10,0
Luigi Fioravanti,250,25,210,0,0,56,0
Brodie Farber,25,0,25,0,0,12,0
Evangelista Santos,175,140,0,0,0,21,25
Kyle Prepolec,25,25,50,0,0,0,0
Antonio Carlos Junior,25,450,235,0,25,88,0
Joaquim Silva,375,0,130,0,210,31,0
Jesse Ronson,25,25,0,0,75,19,0
Mac Danzig,150,230,260,0,25,95,0
Kai Kara-France,325,50,345,0,95,239,75
Tyson Nam,300,25,50,0,50,41,0
Daniel Zellhuber,0,90,290,0,25,76,0
Francisco Prado,100,0,75,0,25,24,0
Zabit Magomedsharipov,0,270,240,0,0,147,0
Mike Santiago,125,25,25,0,0,42,0
Rory MacDonald,350,90,425,0,25,267,75
Nick Fiore,0,0,50,0,0,0,0
Dricus Du Plessis,400,180,185,0,70,193,100
Darren Till,225,75,265,0,70,39,150
Arman Tsarukyan,400,90,370,0,70,305,75
Junie Browning,0,115,0,0,0,19,0
David Kaplan,0,25,0,0,25,0,0
Bill Algeo,150,90,315,0,25,217,0
Dos Caras Jr.,25,0,25,0,0,0,0
Matt Dwyer,125,0,50,0,0,5,0
William Macario,50,25,80,0,0,85,0
Anthony Perosh,300,270,50,0,0,37,0
Matt Hamill,550,0,290,75,25,163,0
Trey Waters,25,25,160,0,0,54,0
Billy Ray Goff,200,25,25,0,0,64,0
Trevin Jones,100,25,75,0,0,2,0
Brad Pickett,150,255,315,0,190,21,0
Ivan Menjivar,125,205,205,0,0,50,0
Tom Aspinall,625,180,0,0,0,96,125
Nick Pace,0,90,75,0,0,2,0
Oumar Sy,100,90,105,0,0,78,0
Kazushi Sakuraba,450,1760,340,0,0,230,0
Marcus Silveira,0,25,0,0,0,0,0
Zhang Weili,225,180,425,0,95,439,225
Todd Moore,0,50,25,0,0,10,0
Neil Magny,800,420,875,0,280,641,100
Ernie Verdicia,0,25,0,0,0,2,0
Rameau Thierry Sokoudjou,600,50,0,0,0,78,0
Ilia Topuria,600,90,160,0,0,104,100
Karlos Vemola,100,140,50,0,0,29,0
Seth Petruzelli,125,50,25,0,0,27,0
Tom Erikson,0,230,80,0,0,28,0
Tim Catalfo,0,25,0,0,0,0,0
Punahele Soriano,425,25,265,0,25,237,0
Dalcha Lungiambula,175,25,105,0,0,48,0
Fernando Padilla,125,90,25,0,0,34,0
Bec Rawlings,25,90,155,0,25,27,0
Rickson Gracie,0,180,0,0,0,14,0
Nobuhiko Takada,50,255,25,0,0,4,0
Gegard Mousasi,1525,680,530,0,0,670,150
Carlos Zevallos,100,0,0,0,0,10,0
Andre Walker,25,0,0,0,0,0,0
George Sullivan,125,75,160,0,0,86,0
Igor Araujo,25,0,185,0,0,3,0
Rony Jason,225,90,130,0,25,14,0
Markus Perez,25,180,100,0,0,2,0
John Dodson,500,0,365,0,120,123,75
Darrell Montague,50,0,25,0,0,0,0
Grant Dawson,250,450,400,0,0,208,25
Darrick Minner,50,140,105,0,0,57,0
Alex Serdyukov,100,230,25,0,0,83,0
Ikram Aliskerov,325,90,80,0,0,58,25
Rhys McKee,50,0,50,0,25,0,0
Mark Bocek,25,385,315,0,70,138,0
Maki Pitolo,225,50,50,0,0,51,0
Dustin Kimura,0,205,50,0,0,0,0
Jon Delos Reyes,25,140,0,0,0,8,0
Nate Maness,200,115,185,0,0,78,0
Mateus Mendonca,125,0,25,0,25,5,0
Iasmin Lucindo,0,90,290,0,70,73,0
Claude Patrick,0,90,160,0,25,47,0
Sarah Kaufman,100,75,400,75,25,428,100
Colby Covington,325,205,610,0,0,314,200
Rob MacDonald,0,140,0,0,0,7,0
Eddie Yagin,0,0,25,0,70,0,0
Mark Hominick,225,320,130,0,95,77,25
Batgerel Danaa,350,0,50,0,0,83,0
Kevin Natividad,50,0,0,0,25,0,0
Canaan Kawaihae,25,0,25,0,0,0,0
Cole Escovedo,150,25,75,0,0,0,25
Timur Valiev,0,0,105,75,0,57,0
Peter Danesoe,125,25,0,0,0,6,0
Sim Kai Xiong,25,0,105,0,0,0,0
Yoshihiro Akiyama,550,655,130,0,95,97,0
Jake Collier,200,90,235,0,120,161,0
Frankie Edgar,525,180,925,0,95,586,350
Vik Grujic,125,0,50,0,0,18,0
Chris Indich,25,0,25,0,0,0,0
Cain Velasquez,1250,25,160,0,0,486,175
Brad Morris,50,0,0,0,0,0,0
Tim Means,650,330,555,0,145,444,0
Ariel Gandulla,0,25,0,0,70,1,25
Gary Padilla,0,0,0,0,25,3,0
Hannah Goldy,25,90,155,0,0,90,0
Emily Whitmire,0,190,80,0,0,11,0
Akira Corassani,75,0,80,0,70,0,0
Marcus Brimage,175,0,160,0,95,48,0
Maximo Blanco,100,75,265,0,25,99,0
Makoto Takimoto,0,90,210,0,0,34,0
Zelg Galesic,100,165,0,0,0,52,0
Anthony Rocco Martin,100,320,450,25,25,114,0
Johnny Case,100,115,185,0,0,103,0
Cezar Ferreira,75,270,395,0,140,38,0
Brian Stann,750,140,210,0,0,183,75
Ashley Yoder,0,0,310,0,120,55,0
Jordan Leavitt,200,320,25,0,70,45,0
Trey Ogden,0,0,290,0,25,29,0
Albert Tumenov,300,50,80,0,95,55,0
Nicholas Musoke,25,90,210,0,0,47,0
Khabib Nurmagomedov,200,450,480,0,0,410,100
Al Iaquinta,425,50,395,0,70,160,75
Lando Vannata,100,140,205,0,70,100,0
Danillo Villefort,100,0,0,0,0,8,0
Manvel Gamburyan,200,295,500,0,0,90,25
Joey Gambino,0,25,25,0,0,6,0
Curtis Stout,50,25,25,0,0,0,0
Erik Perez,200,115,240,0,95,99,0
Byron Bloodworth,50,0,0,0,0,0,0
Forrest Griffin,325,270,480,0,95,349,50
Bill Mahood,25,50,0,0,0,0,0
Sarah Frota,125,0,0,0,25,74,0
Maiara Amanajas dos Santos,25,0,0,0,0,0,0
Iwo Baraniewski,100,0,0,0,0,0,0
Kyle Bochniak,0,0,180,0,95,0,0
Brandon Davis,25,115,210,0,75,102,0
Mansur Abdul-Malik,100,90,0,0,0,26,0
Noe Hernandez,0,0,25,0,0,0,0
Jesse Strader,50,0,0,0,0,0,0
Sodiq Yusuff,225,90,395,0,0,151,25
Keisuke Sasu,25,25,80,0,0,20,0
Melissa Gatto,200,0,25,0,25,64,0
Mike Rhodes,0,25,50,0,0,0,0
Bethe Correia,150,25,210,0,165,108,50
Serghei Spivac,400,270,130,75,0,128,75
Ronda Rousey,350,630,0,0,0,44,250
Liz Carmouche,200,50,420,0,95,152,75
Tom Niinimaki,0,75,0,0,70,4,0
Rani Yahya,75,990,525,0,95,107,25
Tyron Woodley,650,295,315,75,235,174,200
Nursulton Ruziboev,300,0,105,0,0,43,0
Eric McConico,25,0,0,0,70,0,0
Scott Bessac,0,90,0,0,0,0,0
David Hood,0,25,0,0,0,1,0
Karl Williams,0,0,345,0,0,70,0
Mateusz Rebecki,125,180,105,25,70,130,0
Mike Malott,225,270,160,0,0,85,0
Adam Fugitt,150,25,0,0,70,38,0
Omari Akhmedov,250,115,425,0,95,124,0
Thiago Perpetuo,125,25,0,0,0,39,0
Waldo Cortes Acosta,500,0,450,0,0,285,0
Robelis Despaigne,100,0,50,0,0,13,0
Shane Roller,150,525,185,0,0,31,0
Marcus Hicks,25,270,25,25,0,7,25
Nick Roehrick,25,0,0,0,0,0,0
Terrance McKinney,500,320,0,0,0,130,0
Damir Hadzovic,250,25,155,0,70,80,0
Caio Magalhaes,200,115,105,0,25,22,0
Nick Ring,0,90,210,0,25,63,0
Daniel Marcos,100,90,185,0,140,111,0
John Castaneda,125,90,290,0,25,92,0
Brad Katona,25,0,420,0,0,102,0
Cody Gibson,125,140,180,0,0,90,0
Joe Pyfer,425,180,105,0,0,69,25
Alexandre Barros,25,0,0,0,0,0,0
Jordan Espinosa,100,140,210,0,0,133,0
Nick Urso,0,25,0,0,0,0,0
Chris Leben,875,320,260,0,95,148,50
Brian Sleeman,0,25,0,0,0,7,0
Josh Hendricks,25,0,0,0,0,0,0
Will Campuzano,25,50,155,0,0,18,0
Austin Springer,0,115,0,0,0,11,0
Giga Chikadze,325,25,315,0,140,127,50
Carlos Vera,0,0,25,0,0,0,0
Carl Toomey,0,25,0,0,0,0,0
Steve Nelmark,25,0,0,0,0,9,0
