player_name,value,playoff_value,total_value,passes_bought
Rhys Hoskins,488,4,492,661
Carlos Estévez,487,26,513,65
Jake Irvin,486,0,486,165
Michael Wacha,484,33,517,200
Andrés Giménez,483,76,559,311
Brendan Rodgers,483,0,483,52
Jesse Winker,481,145,626,274
Nestor Cortes,481,24,505,1477
Andrew Benintendi,480,0,480,130
Andrew Heaney,476,0,476,85
Steven Kwan,476,159,635,1271
Ryan O'Hearn,474,8,482,267
Evan Phillips,473,96,569,287
Michael Conforto,473,0,473,561
Giancarlo Stanton,472,379,851,1511
Luke Weaver,472,247,719,144
Zack Littell,472,0,472,56
Craig Kimbrel,471,0,471,358
Jhoan Duran,471,0,471,256
Chris Bassitt,469,0,469,220
Lane Thomas,469,191,660,492
Cedric Mullins,468,46,514,620
Kevin Ginkel,468,0,468,56
Zach Eflin,468,31,499,279
Maikel Garcia,467,73,540,448
Mike Yastrzemski,467,0,467,148
Zac Gallen,467,0,467,1911
Luke Raley,466,0,466,130
Mitch Keller,466,0,466,360
Wilyer Abreu,466,0,466,344
Jake McCarthy,465,0,465,117
Derek Law,464,0,464,11
Kyle Gibson,464,0,464,99
Luis L. Ortiz,463,0,463,43
Bryson Stott,462,52,514,1466
Alexis Díaz,461,0,461,143
Charlie Morton,461,0,461,310
Spencer Arrighetti,461,0,461,128
Tyler Kinley,461,0,461,7
J.D. Martinez,460,54,514,479
Jose Quintana,460,123,583,187
Trevor Megill,460,39,499,44
Alex Verdugo,459,161,620,910
Jameson Taillon,458,0,458,194
Ryan Mountcastle,457,0,457,966
Daulton Varsho,454,0,454,387
Fernando Cruz,454,0,454,85
JP Sears,454,0,454,53
Joe Ryan,454,0,454,688
Brandon Marsh,453,0,453,901
Edwin Díaz,453,134,587,554
Joel Payamps,453,10,463,25
Michael Kopech,451,94,545,144
Austin Riley,450,0,450,3746
Joey Ortiz,449,0,449,192
Justin Steele,449,0,449,1181
Dylan Floro,448,0,448,24
Logan O'Hoppe,448,0,448,227
Robert Garcia,448,0,448,10
Brayan Bello,445,0,445,657
Colin Rea,445,0,445,93
Ranger Suárez,445,41,486,3511
Andrew McCutchen,444,0,444,282
Nick Pivetta,444,0,444,334
Byron Buxton,443,0,443,814
Christopher Morel,443,0,443,1316
Jordan Westburg,442,6,448,1127
A.J. Puk,441,0,441,28
Justin Turner,441,0,441,722
Taj Bradley,441,0,441,122
Fernando Tatis Jr.,439,235,674,8302
Gavin Lux,439,104,543,233
Keegan Akin,438,5,443,37
Connor Wong,437,0,437,339
Carlos Correa,436,0,436,983
Mitchell Parker,436,0,436,151
Blake Snell,435,0,435,1809
Michael Toglia,435,0,435,52
Tyler Anderson,435,0,435,112
Will Vest,434,128,562,19
Daniel Hudson,432,47,479,43
Pete Fairbanks,432,0,432,60
Tim Herrin,432,80,512,14
José Alvarado,431,0,431,276
Leody Taveras,431,0,431,145
Scott Barlow,431,0,431,74
Ryne Nelson,429,0,429,48
Ty France,428,0,428,208
Charlie Blackmon,427,0,427,161
Brandon Lowe,423,0,423,225
Jo Adell,422,0,422,112
Kyle Tucker,422,0,422,6366
Ryne Stanek,421,92,513,32
Paul DeJong,420,0,420,107
Ryan Feltner,420,0,420,26
Dennis Santana,419,0,419,27
Ernie Clement,419,0,419,117
David Bednar,418,0,418,112
Garrett Cleavinger,417,0,417,7
Ryan Jeffers,417,0,417,472
Masataka Yoshida,416,0,416,604
Jeimer Candelario,415,0,415,317
Ryan Pepiot,415,0,415,137
Jake Meyers,414,0,414,154
John Schreiber,414,59,473,18
Orlando Arcia,412,8,420,
Zack Gelof,411,0,411,235
Tobias Myers,410,62,472,96
Frankie Montas,409,27,436,228
Chad Green,408,0,408,23
Yennier Cano,407,5,412,124
Bryan Woo,406,0,406,277
Matthew Liberatore,406,0,406,32
Kerry Carpenter,402,85,487,413
Aaron Civale,401,42,443,80
Austin Gomber,401,0,401,
Matt Strahm,400,12,412,180
Ryan Thompson,400,0,400,23
Gavin Stone,399,0,399,328
Justin Martinez,398,0,398,66
David Peterson,397,92,489,51
Harrison Bader,397,23,420,270
Michael Harris II,397,75,472,1721
Patrick Corbin,397,0,397,47
Jose Miranda,396,0,396,228
Kevin Kelly,395,0,395,4
Miles Mikolas,395,0,395,114
Andre Pallante,393,0,393,25
Ha-Seong Kim,393,0,393,400
Isiah Kiner-Falefa,393,0,393,204
Jonah Heim,393,0,393,482
José Caballero,393,0,393,73
Spencer Schwellenbach,392,0,392,152
Jeff McNeil,391,26,417,315
Trevor Larnach,391,0,391,102
Hunter Strickland,390,0,390,3
Austin Wells,389,108,497,368
JoJo Romero,388,0,388,56
José Leclerc,388,0,388,88
Albert Suárez,387,0,387,56
Cole Sands,387,0,387,18
Joe Mantiply,386,0,386,10
Jose Siri,386,0,386,210
Jarred Kelenic,385,0,385,392
Mitch Spence,385,0,385,8
Dean Kremer,384,0,384,247
Hunter Renfroe,382,0,382,86
Javier Assad,382,0,382,296
Seranthony Domínguez,380,27,407,108
Seth Brown,379,0,379,34
T.J. McFarland,377,0,377,7
Kyle Isbel,376,47,423,64
