player_name,value,playoff_value,total_value,passes_bought
Garrett Stubbs,126,0,126,66
Matt Carpenter,126,0,126,63
Taijuan Walker,126,0,126,100
Xzavion Curry,126,0,126,13
Drew Thorpe,125,0,125,50
Josh Staumont,125,0,125,9
Mike Trout,125,0,125,7221
Victor González,125,0,125,17
Brenan Hanifee,124,18,142,1
Daz Cameron,124,0,124,5
Eduard Bazardo,124,0,124,2
Emerson Hancock,124,0,124,
Luis Matos,124,0,124,204
Corey Julks,123,0,123,18
Dane Myers,123,0,123,11
Jerar Encarnacion,123,0,123,17
Gabriel Arias,122,0,122,62
Quinn Priester,122,0,122,10
Austin Barnes,121,0,121,17
Brett Baty,121,0,121,363
Cristian Pache,121,0,121,85
Eduardo Rodriguez,121,0,121,57
José Tena,121,0,121,10
Kyle McCann,121,0,121,6
Sam Hentges,121,0,121,6
Travis Jankowski,120,0,120,72
Ty Blach,120,0,120,5
Bryan King,119,8,127,7
Bryce Elder,119,0,119,34
Tim Anderson,119,0,119,118
Cristian Javier,118,0,118,231
Josh Fleming,118,0,118,10
Max Scherzer,118,0,118,232
Seth Halvorsen,118,0,118,2
Sean Guenther,117,31,148,1
Christian Scott,116,0,116,125
Jordan Wicks,116,0,116,159
Reese McGuire,116,0,116,100
Andruw Monasterio,114,0,114,39
Andrés Chaparro,114,0,114,12
Casey Schmitt,114,0,114,11
Grant Holman,114,0,114,1
Kody Clemens,114,25,139,68
Adrian Del Castillo,113,0,113,45
Drew Smith,113,0,113,20
Luis Urías,113,0,113,34
George Soriano,112,0,112,4
Hans Crouse,112,0,112,3
Trey Lipscomb,112,0,112,75
Brent Honeywell,111,27,138,7
Luis Guillorme,110,0,110,22
Robbie Ray,110,0,110,52
Troy Taylor,110,0,110,3
Aaron Ashby,109,0,109,6
Luis Torrens,108,0,108,25
Ethan Roberts,107,0,107,5
Jordan Beck,107,0,107,24
DL Hall,105,0,105,47
José Quijada,105,0,105,1
Kris Bryant,105,0,105,108
Scott McGough,105,0,105,10
Grant McCray,104,0,104,21
Brock Stewart,103,0,103,40
Joey Cantillo,103,26,129,14
Josh Sborz,103,0,103,42
Nick Loftin,103,0,103,26
Hunter Bigge,102,0,102,20
Kaleb Ort,102,0,102,5
Adbert Alzolay,101,0,101,186
Ron Marinaccio,101,0,101,26
Trey Sweeney,100,30,130,18
Tyler Wade,100,0,100,57
Braxton Garrett,99,0,99,37
Jeffrey Springs,99,0,99,11
J.D. Davis,98,0,98,53
Jordan Romano,98,0,98,96
Jung Hoo Lee,98,0,98,663
Logan Allen,98,0,98,7
J.T. Ginn,96,0,96,3
Jay Jackson,96,0,96,11
Tomás Nido,96,0,96,25
Trevor Story,96,0,96,262
Tyler Phillips,95,0,95,92
Heston Kjerstad,94,0,94,139
Prelander Berroa,94,0,94,2
Victor Scott II,94,0,94,70
Weston Wilson,94,0,94,96
Abner Uribe,93,0,93,105
Brad Keller,93,0,93,3
Griffin Conine,93,0,93,1
Rhett Lowder,93,0,93,22
Robert Gasser,93,0,93,67
Alex Jackson,92,0,92,3
Bobby Miller,92,0,92,1082
Ryder Ryan,92,0,92,9
Anthony Maldonado,91,0,91,1
Enoli Paredes,91,0,91,5
Tom Cosgrove,91,0,91,14
Danny Mendick,90,0,90,7
Dominic Leone,90,0,90,3
James Outman,90,0,90,266
Bryan Ramos,89,0,89,18
Darren McCaughan,89,0,89,2
Estevan Florial,89,0,89,25
Max Meyer,89,0,89,29
Yunior Marte,89,0,89,48
Christian Encarnacion-Strand,88,0,88,243
Sean Bouchard,88,0,88,2
Alek Thomas,87,0,87,134
Austin Hedges,87,16,103,14
Darell Hernaiz,87,0,87,8
Dylan Crews,87,0,87,158
Louie Varland,87,0,87,29
Michael McGreevy,87,0,87,13
Steven Matz,87,0,87,38
Alek Manoah,86,0,86,132
Bryan Baker,86,0,86,7
Chris Devenski,86,0,86,3
Aaron Schunk,85,0,85,3
Ronny Henriquez,85,0,85,2
Adam Oller,84,0,84,
Clayton Kershaw,84,0,84,150
José Cisnero,84,0,84,2
Luis Medina,84,0,84,11
Brooks Baldwin,83,0,83,8
Eric Haase,83,0,83,13
Jose Herrera,83,0,83,4
Curtis Mead,82,0,82,20
Justin Wrobleski,82,0,82,15
Nathan Lukes,82,0,82,3
Rece Hinds,82,0,82,329
Zebby Matthews,82,0,82,20
Luke Maile,81,0,81,41
Riley Adams,81,0,81,15
Alex Young,80,0,80,6
Erasmo Ramírez,80,0,80,1
Ryan Zeferjahn,80,0,80,1
Will Wagner,80,0,80,39
Sixto Sánchez,79,0,79,17
Curt Casali,77,0,77,3
Emmanuel Ramirez,77,0,77,2
Erik Sabrowski,77,52,129,1
Nick Burdi,77,0,77,24
Joshua Palacios,76,0,76,24
Niko Kavadas,76,0,76,2
Tommy Nance,76,0,76,1
Brandon Bielak,75,0,75,4
Sean Reynolds,75,0,75,4
Ben Gamel,74,0,74,14
Jeff Criswell,74,0,74,
Marco Gonzales,74,0,74,22
Martín Maldonado,74,0,74,23
Michael Stefanic,74,0,74,1
Nick Vespi,74,0,74,7
Shane Bieber,74,0,74,962
Yilber Diaz,74,0,74,10
Brett Harris,73,0,73,7
Garrett Cooper,73,0,73,67
Julian Aguiar,73,0,73,6
Ryan Bliss,73,0,73,48
Brady Basso,72,0,72,1
Bryan Sammons,72,0,72,4
Colten Brewer,72,0,72,5
Gerson Garabito,72,0,72,8
River Ryan,72,0,72,46
Jacob Wilson,71,0,71,30
Sean Burke,71,0,71,2
Daniel Palencia,70,0,70,10
Joe La Sorsa,70,0,70,4
Mason Montgomery,69,0,69,
Ryan Miller,69,0,69,
Trey Cabbage,69,0,69,11
Brooks Raley,68,0,68,27
Cody Poteet,68,0,68,22
Davis Daniel,68,0,68,9
John McMillon,68,0,68,2
John Means,68,0,68,94
Nick Nastrini,68,0,68,16
Mason Black,66,0,66,11
Matt Manning,66,0,66,25
Deivi García,65,0,65,9
Alex Wood,64,0,64,13
Dillon Dingler,64,0,64,26
Eric Wagaman,64,0,64,1
Guillo Zuñiga,64,0,64,3
José Marte,64,0,64,
Michael Petersen,64,0,64,3
Tyler Beede,64,0,64,5
Yerry Rodríguez,64,0,64,11
Daniel Vogelbach,63,0,63,61
Jon Berti,63,8,71,73
Jose Cuas,63,0,63,30
Nick Sogard,63,0,63,24
Jake Woodford,62,0,62,4
Julian Merryweather,62,0,62,37
Matt Festa,62,0,62,1
Scott Blewett,62,0,62,4
Spencer Howard,62,0,62,3
Tanner Gordon,62,0,62,1
Brandon Hughes,61,0,61,4
Cole Sulser,61,0,61,2
Lake Bachar,61,0,61,
Mason Englert,61,0,61,4
Miguel Sanó,61,0,61,32
Vaughn Grissom,60,0,60,68
Kyle Nelson,59,0,59,6
Leo Rivas,59,0,59,3
Rafael Marchán,59,0,59,36
Garrett Whitlock,58,0,58,101
Jace Jung,58,12,70,26
Luis Peralta,58,0,58,1
Matt Sauer,58,0,58,7
Cody Bolton,57,0,57,5
Jack Leiter,57,0,57,55
Oliver Dunn,57,0,57,42
Richard Fitts,57,0,57,12
Bligh Madris,56,0,56,7
Kyle Tyler,56,0,56,1
Tommy Henry,56,0,56,11
Tucker Barnhart,56,0,56,8
Zach DeLoach,56,0,56,2
Alek Jacob,55,16,71,4
Eguy Rosario,55,0,55,12
Jack López,55,0,55,
Ryan Noda,55,0,55,24
Vinny Nittoli,55,0,55,4
Walter Pennington,55,0,55,5
Yosver Zulueta,55,0,55,6
Zack Short,55,0,55,24
Jonatan Clase,54,0,54,34
Kevin Herget,54,0,54,1
Tyler Matzek,54,0,54,48
Akil Baddoo,53,0,53,21
Jasson Domínguez,53,4,57,176
Luis Guerrero,53,0,53,3
Luken Baker,53,0,53,7
Alex Cobb,52,21,73,52
Brett de Geus,52,0,52,2
Esteury Ruiz,52,0,52,154
Matt Barnes,52,0,52,7
Nasim Nuñez,52,0,52,2
Yuli Gurriel,52,38,90,5
Andrew Walters,51,36,87,2
Henry Davis,51,0,51,116
Miles Mastrobuoni,51,0,51,42
Touki Toussaint,51,0,51,2
Alika Williams,50,0,50,13
Andrew Knizner,50,0,50,11
David Dahl,50,0,50,33
Luisangel Acuña,50,0,50,146
Ray Kerr,50,0,50,11
Aaron Brooks,49,0,49,2
Cole Winn,49,0,49,6
Domingo Germán,49,0,49,3
Joely Rodríguez,49,0,49,15
José Azocar,49,0,49,16
José Fermín,49,0,49,1
Kent Emanuel,49,0,49,1
Nick Madrigal,49,0,49,125
Tristan Beck,49,0,49,4
Zach Dezenzo,49,3,52,23
Billy Cook,48,0,48,7
Brusdar Graterol,48,12,60,20
Bryce Johnson,48,0,48,1
José Abreu,48,0,48,143
Nick Allen,48,0,48,11
Jaden Hill,47,0,47,
Kenny Rosenberg,47,0,47,1
Kolby Allard,47,0,47,6
Marco Luciano,47,0,47,48
Ty Madden,47,0,47,5
Anthony Veneziano,46,0,46,2
Bailey Horn,46,0,46,3
Elieser Hernández,46,0,46,1
Kirby Snead,46,0,46,1
Bobby Dalbec,45,0,45,56
Brandon Crawford,45,0,45,25
David Bote,44,0,44,28
Rob Zastryzny,44,0,44,
David Hensley,43,0,43,
Humberto Castellanos,43,0,43,3
J.P. Feyereisen,43,0,43,1
Sammy Peralta,43,0,43,1
J.B. Bukauskas,42,0,42,4
Jamie Westbrook,42,0,42,6
Jared Walsh,42,0,42,
Logan Gillaspie,42,0,42,4
Luke Williams,42,0,42,2
Ryan Borucki,42,0,42,13
Ali Sánchez,41,0,41,2
Gustavo Campero,41,0,41,
René Pinto,41,0,41,25
Yan Gomes,41,0,41,116
Josh Walker,40,0,40,3
Mitch White,40,0,40,8
Shay Whitcomb,40,0,40,16
Adam Mazur,39,0,39,19
Blake Walston,39,0,39,4
Ji Hwan Bae,39,0,39,33
Peter Strzelecki,39,0,39,2
Mason McCoy,38,0,38,3
Yonny Chirinos,38,0,38,
Ben Heller,37,0,37,1
Bradley Blalock,37,0,37,5
Brandon Williamson,37,0,37,8
Cal Stevenson,37,0,37,8
Drew Millas,37,0,37,3
Jahmai Jones,37,0,37,20
Nick Yorke,37,0,37,5
Ryan Kreidler,37,0,37,3
Austin Warren,36,0,36,1
Chadwick Tromp,36,0,36,17
Isaiah Campbell,36,0,36,16
Miguel Castro,36,0,36,8
Nick Robertson,36,0,36,2
Eli White,35,0,35,2
J.P. France,35,0,35,48
Jairo Iriarte,35,0,35,1
Brian Serven,34,0,34,2
Cole Tucker,34,0,34,6
Gregory Santos,34,0,34,23
Jacob deGrom,34,0,34,94
Sam Aldegheri,34,0,34,3
Tyler Gilbert,34,0,34,1
Austin Shenton,33,0,33,6
David Villar,33,0,33,7
Jacob Hurtubise,33,0,33,19
Noah Davis,33,0,33,2
Jimmy Herget,32,0,32,3
Kyren Paris,32,0,32,2
Luis Frías,32,0,32,6
Yoendrys Gómez,32,0,32,10
César Salazar,31,0,31,5
Drew Romo,31,0,31,6
Jacob Amaya,31,0,31,1
Jose E. Hernandez,31,0,31,7
Josh Winder,31,0,31,3
Kumar Rocker,31,0,31,49
Pablo Reyes,31,0,31,60
Parker Mushinski,31,0,31,2
Phil Bickford,31,0,31,5
Steven Cruz,31,0,31,1
Tyler Wells,31,0,31,59
Chase Shugart,30,0,30,2
Jordyn Adams,30,0,30,
Omar Narváez,30,0,30,11
Tyler Locklear,30,0,30,15
Tyler Mahle,30,0,30,10
Avisaíl García,29,0,29,3
Janson Junk,29,0,29,2
Ky Bush,29,0,29,3
Max Lazar,29,0,29,11
Tyler Black,29,0,29,28
Zach Remillard,29,0,29,2
Zack Thompson,29,0,29,21
Buddy Kennedy,28,0,28,10
Charles Leblanc,28,0,28,1
Steward Berroa,28,0,28,5
Thomas Saggese,28,0,28,6
Aaron Hicks,27,0,27,16
Luis Contreras,27,0,27,1
Ryan Vilade,27,0,27,7
Tyler Duffey,27,0,27,
Yoán Moncada,27,0,27,73
Amir Garrett,26,0,26,1
Ben Casparius,26,58,84,3
Braden Shewmake,26,0,26,16
Jacob Lopez,26,0,26,2
Kodai Senga,26,13,39,339
Jordan Lyles,25,0,25,9
Logan Driscoll,25,0,25,2
Oscar Colás,25,0,25,10
Connor Gillispie,24,0,24,1
Dinelson Lamet,24,0,24,7
Jackson Rutledge,24,0,24,2
Johnathan Rodriguez,24,0,24,14
Jonathan Ornelas,24,0,24,5
Ricardo Pinto,24,0,24,16
Alexander Canario,23,0,23,37
Blake Sabol,23,0,23,5
Chuckie Robinson,23,0,23,1
Jason Delay,23,0,23,5
Matt Carasiti,23,0,23,2
Michael Mercado,23,0,23,20
Mike Clevinger,23,0,23,6
Mike Ford,23,0,23,20
Will Klein,23,0,23,3
Alan Trejo,22,0,22,9
Caleb Kilian,22,0,22,9
Casey Kelly,22,0,22,
Colin Selby,22,0,22,1
Diego Castillo,22,0,22,1
Graham Pauley,22,0,22,16
Joel Kuhnel,22,0,22,
Nabil Crismatt,22,0,22,2
Nick Ramirez,22,0,22,4
Armando Alvarez,21,0,21,3
Edgardo Henriquez,21,29,50,5
Jack Neely,21,0,21,9
Nick Hernandez,21,0,21,2
Riley O'Brien,21,0,21,6
Spencer Strider,21,0,21,5130
Trey Wingenter,21,0,21,2
Blake Dunn,20,0,20,11
Daulton Jefferies,20,0,20,1
Easton Lucas,20,0,20,1
Forrest Wall,20,0,20,22
Jhonny Pereda,20,0,20,1
Joan Adon,20,0,20,1
Joey Lucchesi,20,0,20,2
Josh Maciejewski,20,0,20,5
Seby Zavala,20,0,20,4
Tom Murphy,20,0,20,11
Billy McKinney,19,0,19,3
Matt Foster,19,0,19,3
Austin Davis,18,0,18,1
Austin Wynns,18,0,18,2
Chase Silseth,18,0,18,16
Davis Wendzel,18,0,18,5
Isaac Mattson,18,0,18,2
Joey Wendle,18,0,18,7
Kyle Hurt,18,0,18,13
Stone Garrett,18,0,18,15
Wes Parsons,18,0,18,5
Will Warren,18,0,18,11
AJ Smith-Shawver,17,0,17,19
Dallas Keuchel,17,0,17,4
Darius Vines,17,0,17,7
Ehire Adrianza,17,0,17,
Jack O'Loughlin,17,0,17,1
Jackson Jobe,17,0,17,19
Jhonathan Díaz,17,0,17,
Randy Dobnak,17,0,17,4
Ricky Vanasco,17,0,17,1
Ryan McKenna,17,0,17,14
Sean Newcomb,17,0,17,1
Travis Blankenhorn,17,0,17,2
Gordon Graceffo,16,0,16,7
Javier Sanoja,16,0,16,
Nick Avila,16,0,16,2
Shaun Anderson,16,0,16,3
Brandon Lockridge,15,0,15,3
Caden Dana,15,0,15,10
Jason Vosler,15,0,15,1
Josh Rogers,15,0,15,2
Owen Miller,15,0,15,5
Tyler Jay,15,0,15,
Zach Penrod,15,0,15,2
Adael Amador,14,0,14,20
Drew Waters,14,0,14,8
Dustin Harris,14,0,14,1
Jake Bloss,14,0,14,24
Matt Andriese,14,0,14,
Nick Nelson,14,0,14,4
Donovan Walton,13,0,13,
Tucker Davidson,13,0,13,
Jacob Waguespack,12,0,12,2
Naoyuki Uwasawa,12,0,12,4
Rich Hill,12,0,12,14
Trenton Brooks,12,0,12,1
Zach Plesac,12,0,12,1
Carlos Rodriguez,11,0,11,9
Casey Legumina,11,0,11,3
Dan Altavilla,11,0,11,2
Daniel Robert,11,0,11,3
Darren Baker,11,0,11,3
Diego A. Castillo,11,0,11,2
Jakson Reetz,11,0,11,1
Jonathan Loáisiga,11,0,11,61
Justin Bruihl,11,0,11,
Kai-Wei Teng,11,0,11,6
Luis De Los Santos,11,0,11,
Matt Mervis,11,0,11,15
Rafael Ortega,11,0,11,1
Trevor McDonald,11,0,11,2
Brandon Eisert,10,0,10,
Brett Sullivan,10,0,10,1
Clayton Beeter,10,0,10,24
Daniel Duarte,10,0,10,2
Hunter Feduccia,10,0,10,3
Justin Sterner,10,0,10,
Justin Topa,10,0,10,4
Ty Adcock,10,0,10,2
Wade Miley,10,0,10,16
Zach Brzykcy,10,0,10,
Coby Mayo,9,0,9,45
Eli Villalobos,9,0,9,
Forrest Whitley,9,0,9,7
Jonathan Heasley,9,0,9,1
Jorge Barrosa,9,0,9,4
Oswald Peraza,9,0,9,34
Scott Effross,9,0,9,3
Aledmys Díaz,8,0,8,3
Antonio Senzatela,8,0,8,1
Brent Headrick,8,0,8,2
Geoff Hartlieb,8,0,8,2
Joey Wiemer,8,0,8,17
Liover Peguero,8,0,8,11
Matt Koch,8,0,8,1
Tyler Heineman,8,0,8,3
Vladimir Gutierrez,8,0,8,1
DaShawn Keirsey Jr.,7,0,7,3
Greg Jones,7,0,7,7
Jackson Stephens,7,0,7,1
Keston Hiura,7,0,7,8
Livan Soto,7,0,7,2
Michael Helman,7,0,7,6
Niko Goodrum,7,0,7,2
Pedro León,7,0,7,19
Tyler Zuber,7,0,7,1
Adam Kloffenstein,6,0,6,1
David Buchanan,6,0,6,
David Fletcher,6,0,6,
Johnny Cueto,6,0,6,8
Luis Vazquez,6,0,6,5
Mickey Gasper,6,0,6,12
Tejay Antone,6,0,6,15
Zach Logue,6,0,6,2
Austin Kitchen,5,0,5,1
Brandon Leibrandt,5,0,5,
Bryan Shaw,5,0,5,1
Bubba Thompson,5,0,5,15
Carlos Narvaez,5,0,5,6
Chayce McDermott,5,0,5,13
Duke Ellis,5,0,5,7
Grant Hartwig,5,0,5,2
Isaac Collins,5,0,5,5
Justin Foscue,5,0,5,14
Mike Burrows,5,0,5,3
Riley Pint,5,0,5,
Tristan Gray,5,0,5,1
Alan Busenitz,4,0,4,1
Conner Capel,4,0,4,2
Dylan Coleman,4,0,4,1
Gerardo Reyes,4,0,4,1
J.P. Martínez,4,0,4,1
Jace Peterson,4,0,4,7
Levi Jordan,4,0,4,7
Matthew Batten,4,0,4,2
Paolo Espino,4,0,4,
Ryan Loutos,4,0,4,
Sam Haggerty,4,0,4,10
Cade Marlowe,3,0,3,1
Caleb Boushley,3,0,3,
Gavin Hollowell,3,0,3,1
Jake Eder,3,0,3,2
Joe Jacques,3,0,3,3
Marc Church,3,0,3,3
Miguel Díaz,3,0,3,2
Orlando Ribalta,3,0,3,1
Samad Taylor,3,0,3,5
Taylor Trammell,3,0,3,8
Zac Kristofak,3,0,3,1
Alex Speas,2,0,2,2
Anthony Misiewicz,2,0,2,3
Bryce Teodosio,2,0,2,
Chasen Shreve,2,0,2,1
Eddy Alvarez,2,0,2,
Edwin Ríos,2,0,2,
Evan Justice,2,0,2,1
Evan Kravetz,2,0,2,
Grae Kessinger,2,0,2,4
Matt Duffy,2,0,2,
Myles Straw,2,0,2,4
Nacho Alvarez Jr.,2,0,2,53
Nick Pratto,2,0,2,7
Victor Mederos,2,0,2,2
Vinny Capra,2,0,2,1
Andrew Saalfrank,1,0,1,1
CJ Alexander,1,0,1,4
Ian Gibaut,1,0,1,8
Jair Camargo,1,0,1,1
James Meeker,1,0,1,3
Jonathan Bermúdez,1,0,1,
José Devers,1,0,1,
Kameron Misner,1,0,1,1
Kevin Alcántara,1,0,1,7
Lucas Gilbreath,1,0,1,2
Orelvis Martinez,1,0,1,14
Rob Brantly,1,0,1,
Tony Kemp,1,0,1,15
Austin Pruitt,0,0,0,2
Brewer Hicklen,0,0,0,3
Cooper Hummel,0,0,0,1
Daniel Johnson,0,0,0,1
Grant Koch,0,0,0,1
