name,wins,losses,ufc_loses,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses
Hunter Azure,9,2
Niklas Backstrom,11,3
Seth Baczynski,20,14
Abdul Azeem Badakhshi,13,3
Ryan Bader,23,5
Izabela Badurek,6,3
Miguel Baeza,10,3
Ali Bagautinov,15,6
Mehdi Baghdad,11,5
Melsik Baghdasaryan,8,2
Siyar Bahadurzada,24,8
Ignacio Bahamondes,14,5
Bahatebole Batebolati,8,1
Shamar Bailey,16,11
Jordan Bailey,6,3
Scott Baker,1,1
Bryan Baker,18,5
Jin Bala,23,3
Balajin,23,4
Oluwale Bamgbose,6,4
Stephen Banaszak,5,5
Marcin Bandel,15,7
Humberto Bandenay,14,7
Tae Hyun Bang,18,10
Yohan Banks,2,1
Shauna Bannon,5,1
Antonio Banuelos,20,11
Renan Barao,34,9
Junior Barata,9,3
Maycee Barber,13,2
Bryan Barberena,18,11
Dione Barbosa,6,2
Edson Barboza,24,11
Raoni Barcelos,18,5
Daniel Barez,16,6
Danny Barlow,8,0
Luke Barnatt,13,4
James Barnes,14,5
Nick Barnes,11,2
Shonte Barnes,6,2
Josh Barnett,35,8
Chris Barnett,23,8
Chris Barnhizer,2,3
David Baron,17,4
Phil Baroni,15,18
Dan Barrera,3,1
Carlos Barreto,14,9
Jose Barreto,0,1
Peter Barrett,11,5
Marc-Andre Barriault,16,7
David Barrios,4,8
Alexandre Barros,22,11
Ricardo Barros,2,2
Francimar Barroso,19,7
Pat Barry,8,7
Dean Barry,4,2
Enrique Barzola,17,5
Javid Basharat,14,1
Farid Basharat,12,0
Stephen Bass,11,2
Sean Bassett,0,4
Ryan Bastianelli,6,7
Shayna Baszler,15,11
Michel Batista,4,1
Bryan Battle,11,2
Alan Baudot,8,3
Mario Bautista,14,2
Chris Beal,10,5
Donovan Beard,7,2
Rudy Bears,16,15
Salvador Becerra,5,2
Ariel Beck,4,5
Jeff Bedard,13,3
Eric Bedard,6,7
Johnny Bedford,21,13
Rolando Bedoya,14,3
Chase Beebe,24,13
Lyle Beerbohm,24,3
Allan Begosso,7,2
Mirsad Bektic,13,4
Diana Belbita,15,9
Alan Belcher,18,8
Vitor Belfort,26,14
Yousri Belgaroui,5,3
Rodolfo Bellato,12,2
Danilo Belluardo,12,5
Joey Beltran,17,14
Marco Beltran,8,6
Joseph Benavidez,28,8
Mike Bencic,1,2
Dave Beneteau,6,5
Karla Benitez,14,11
Gabriel Benitez,23,12
Charles Bennett,30,33
Josh Bennett,11,14
DeAnna Bennett,8,3
Lance Benoist,7,2
Joe Benoit,11,4
Ryan Benoit,10,8
Pat Benson,3,5
Len Bentley,10,6
Steve Berger,21,23
Kenneth Bergh,8,0
Bret Bergmark,6,1
Keith Berish,5,1
Dennis Bermudez,17,9
Manny Bermudez,14,2
Talita Bernardo,6,4
Dave Berry,0,1
Keith Berry,15,14
Dieusel Berto,0,3
Edson Berto,17,12
Allen Berube,4,3
Anton Berzin,5,1
Scott Bessac,4,6
Matt Bessette,22,9
Khadzhi Bestaev,10,4
Fernando Bettega,7,5
Arjan Bhullar,9,1
KB Bhullar,8,2
Bibulatov Magomed,14,2
David Bielkheden,24,12
Blake Bilder,8,2
Jonas Bilharinho,9,1
Jeremiah Billington,11,2
Scott Bills,7,9
Anthony Birchak,16,8
Chris Birchler,7,4
Michael Bisping,30,9
Amaury Bitetti,5,2
Caio Bittencourt,14,7
Davi Bittencourt,14,4
Simon Biyong,7,1
Jan Blachowicz,29,10
Jason Black,23,4
Brad Blackburn,18,13
Jason Blackford,3,3
Tom Blackledge,10,7
Sherrard Blackledge,5,1
Da'Mon Blackshear,14,6
Erin Blanchfield,12,1
Maximo Blanco,12,8
David Blanco,2,0
Curtis Blaydes,17,4
Tereza Bleda,7,1
Arlene Blencowe,9,6
